Date,FG-Code,LST,Monat.Jahr,Fachrichtung,postal,online,Gesamt,Year,Bundesland_pretty
2023-01,5.0,ÖGK-B,Jän.23,FA für Haut- und Geschlechtskrankheiten,324.0,289.0,613.0,2023,Burgenland
2023-01,6.0,ÖGK-B,Jän.23,FA für Frauenheilkunde und Geburtshilfe,719.0,1012.0,1731.0,2023,Burgenland
2023-01,7.0,ÖGK-B,Jän.23,FA für Innere Medizin,942.0,339.0,1281.0,2023,Burgenland
2023-01,8.0,ÖGK-B,Jän.23,FA für Kinder- und Jugendheilkunde,172.0,297.0,469.0,2023,Burgenland
2023-01,9.0,ÖGK-B,Jän.23,"FA für Hals-, Nasen- und Ohrenerkrankungen",232.0,66.0,298.0,2023,Burgenland
2023-01,10.0,ÖGK-B,Jän.23,FA für Lungenkrankheiten,14.0,16.0,30.0,2023,Burgenland
2023-01,11.0,ÖGK-B,Jän.23,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,91.0,33.0,124.0,2023,Burgenland
2023-01,12.0,ÖGK-B,Jän.23,FA für Orthopädie und orthopädische Chirurgie,944.0,353.0,1297.0,2023,Burgenland
2023-01,13.0,ÖGK-B,Jän.23,FA für Physikalische Medizin,14.0,3.0,17.0,2023,Burgenland
2023-01,14.0,ÖGK-B,Jän.23,FA für Radiologie,62.0,34.0,96.0,2023,Burgenland
2023-01,15.0,ÖGK-B,Jän.23,FA für Unfallchirurgie,188.0,47.0,235.0,2023,Burgenland
2023-01,16.0,ÖGK-B,Jän.23,FA für Urologie,207.0,167.0,374.0,2023,Burgenland
2023-01,18.0,ÖGK-B,Jän.23,FA für Neurochirurgie,30.0,8.0,38.0,2023,Burgenland
2023-01,19.0,ÖGK-B,Jän.23,FA für Neurologie,269.0,55.0,324.0,2023,Burgenland
2023-01,20.0,ÖGK-B,Jän.23,FA für Psychiatrie,166.0,124.0,290.0,2023,Burgenland
2023-01,21.0,ÖGK-B,Jän.23,FA für Plastische Chirurgie,14.0,6.0,20.0,2023,Burgenland
2023-01,22.0,ÖGK-B,Jän.23,FA für Kinderchirurgie,,,0.0,2023,Burgenland
2023-01,23.0,ÖGK-B,Jän.23,"FA für Mund., Kiefer- und Gesichtschirurgie",,,0.0,2023,Burgenland
2023-01,24.0,ÖGK-B,Jän.23,FA für Nuklearmedizin,27.0,8.0,35.0,2023,Burgenland
2023-01,26.0,ÖGK-B,Jän.23,FA für Strahlentherapie - Radioonkologie,,,0.0,2023,Burgenland
2023-01,29.0,ÖGK-B,Jän.23,FA für Immunologie,1.0,,1.0,2023,Burgenland
2023-01,32.0,ÖGK-B,Jän.23,FA für Kinder- und Jugendpsychiatrie,1.0,,1.0,2023,Burgenland
2023-01,34.0,ÖGK-B,Jän.23,FA für medizinische Biologie,,,0.0,2023,Burgenland
2023-01,50.0,ÖGK-B,Jän.23,FA für medizinische und chemische Labordiagnostik,3.0,5.0,8.0,2023,Burgenland
2023-01,53.0,ÖGK-B,Jän.23,FA für Pathologie und Histologie,,2.0,2.0,2023,Burgenland
2023-01,55.0,ÖGK-B,Jän.23,FA für Hygiene und Mikrobiologie bzw. Labordiagnostik,,,0.0,2023,Burgenland
2023-01,,ÖGK-B,Jän.23,Gesamt,5583.0,3848.0,9431.0,2023,Burgenland
2023-02,5.0,ÖGK-B,Feb.23,FA für Haut- und Geschlechtskrankheiten,379.0,148.0,527.0,2023,Burgenland
2023-02,6.0,ÖGK-B,Feb.23,FA für Frauenheilkunde und Geburtshilfe,499.0,853.0,1352.0,2023,Burgenland
2023-02,7.0,ÖGK-B,Feb.23,FA für Innere Medizin,599.0,217.0,816.0,2023,Burgenland
2023-02,8.0,ÖGK-B,Feb.23,FA für Kinder- und Jugendheilkunde,87.0,164.0,251.0,2023,Burgenland
2023-02,9.0,ÖGK-B,Feb.23,"FA für Hals-, Nasen- und Ohrenerkrankungen",152.0,46.0,198.0,2023,Burgenland
2023-02,10.0,ÖGK-B,Feb.23,FA für Lungenkrankheiten,11.0,5.0,16.0,2023,Burgenland
2023-02,11.0,ÖGK-B,Feb.23,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,62.0,22.0,84.0,2023,Burgenland
2023-02,12.0,ÖGK-B,Feb.23,FA für Orthopädie und orthopädische Chirurgie,690.0,240.0,930.0,2023,Burgenland
2023-02,13.0,ÖGK-B,Feb.23,FA für Physikalische Medizin,4.0,1.0,5.0,2023,Burgenland
2023-02,14.0,ÖGK-B,Feb.23,FA für Radiologie,47.0,14.0,61.0,2023,Burgenland
2023-02,15.0,ÖGK-B,Feb.23,FA für Unfallchirurgie,134.0,31.0,165.0,2023,Burgenland
2023-02,16.0,ÖGK-B,Feb.23,FA für Urologie,103.0,105.0,208.0,2023,Burgenland
2023-02,18.0,ÖGK-B,Feb.23,FA für Neurochirurgie,14.0,11.0,25.0,2023,Burgenland
2023-02,19.0,ÖGK-B,Feb.23,FA für Neurologie,130.0,39.0,169.0,2023,Burgenland
2023-02,20.0,ÖGK-B,Feb.23,FA für Psychiatrie,118.0,114.0,232.0,2023,Burgenland
2023-02,21.0,ÖGK-B,Feb.23,FA für Plastische Chirurgie,11.0,2.0,13.0,2023,Burgenland
2023-02,22.0,ÖGK-B,Feb.23,FA für Kinderchirurgie,,,0.0,2023,Burgenland
2023-02,23.0,ÖGK-B,Feb.23,"FA für Mund., Kiefer- und Gesichtschirurgie",,,0.0,2023,Burgenland
2023-02,24.0,ÖGK-B,Feb.23,FA für Nuklearmedizin,10.0,13.0,23.0,2023,Burgenland
2023-02,26.0,ÖGK-B,Feb.23,FA für Strahlentherapie - Radioonkologie,2.0,2.0,4.0,2023,Burgenland
2023-02,29.0,ÖGK-B,Feb.23,FA für Immunologie,,,0.0,2023,Burgenland
2023-02,32.0,ÖGK-B,Feb.23,FA für Kinder- und Jugendpsychiatrie,2.0,,2.0,2023,Burgenland
2023-02,34.0,ÖGK-B,Feb.23,FA für medizinische Biologie,,,0.0,2023,Burgenland
2023-02,50.0,ÖGK-B,Feb.23,FA für medizinische und chemische Labordiagnostik,3.0,1.0,4.0,2023,Burgenland
2023-02,53.0,ÖGK-B,Feb.23,FA für Pathologie und Histologie,1.0,1.0,2.0,2023,Burgenland
2023-02,55.0,ÖGK-B,Feb.23,FA für Hygiene und Mikrobiologie bzw. Labordiagnostik,,1.0,1.0,2023,Burgenland
2023-02,,ÖGK-B,Feb.23,Gesamt,3843.0,2721.0,6564.0,2023,Burgenland
2023-03,5.0,ÖGK-B,Mär.23,FA für Haut- und Geschlechtskrankheiten,597.0,405.0,1002.0,2023,Burgenland
