Date,FG-Code,LST,Monat.Jahr,Fachrichtung,postal,online,Gesamt,Bundesland_pretty
2021-01,5.0,ALL,Jän.21,FA für Haut- und Geschlechtskrankheiten,15627.0,7877.0,23504.0,Alle
2021-01,6.0,ALL,Jän.21,FA für Frauenheilkunde und Geburtshilfe,33092.0,15980.0,49072.0,Alle
2021-01,7.0,ALL,Jän.21,FA für Innere Medizin,17025.0,6086.0,23111.0,Alle
2021-01,8.0,ALL,Jän.21,FA für Kinder- und Jugendheilkunde,8396.0,12038.0,20434.0,Alle
2021-01,9.0,ALL,Jän.21,"FA für Hals-, Nasen- und Ohrenerkrankungen",3484.0,2201.0,5685.0,Alle
2021-01,10.0,ALL,Jän.21,FA für Lungenkrankheiten,697.0,434.0,1131.0,Alle
2021-01,11.0,ALL,Jän.21,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,3488.0,2066.0,5554.0,Alle
2021-01,12.0,ALL,Jän.21,FA für Orthopädie und orthopädische Chirurgie,10467.0,5381.0,15848.0,Alle
2021-01,13.0,ALL,Jän.21,FA für Physikalische Medizin,513.0,423.0,936.0,Alle
2021-01,14.0,ALL,Jän.21,FA für Radiologie,1456.0,605.0,2061.0,Alle
2021-01,15.0,ALL,Jän.21,FA für Unfallchirurgie,3650.0,1625.0,5275.0,Alle
2021-01,16.0,ALL,Jän.21,FA für Urologie,4223.0,1646.0,5869.0,Alle
2021-01,18.0,ALL,Jän.21,FA für Neurochirurgie,716.0,227.0,943.0,Alle
2021-01,19.0,ALL,Jän.21,FA für Neurologie,2729.0,1196.0,3925.0,Alle
2021-01,20.0,ALL,Jän.21,FA für Psychiatrie,3477.0,2365.0,5842.0,Alle
2021-01,21.0,ALL,Jän.21,FA für Plastische Chirurgie,242.0,172.0,414.0,Alle
2021-01,22.0,ALL,Jän.21,FA für Kinderchirurgie,39.0,114.0,153.0,Alle
2021-01,23.0,ALL,Jän.21,"FA für Mund., Kiefer- und Gesichtschirurgie",383.0,64.0,447.0,Alle
2021-01,24.0,ALL,Jän.21,FA für Nuklearmedizin,611.0,326.0,937.0,Alle
2021-01,26.0,ALL,Jän.21,FA für Strahlentherapie - Radioonkologie,4.0,1.0,5.0,Alle
2021-01,29.0,ALL,Jän.21,FA für Immunologie,3.0,13.0,16.0,Alle
2021-01,32.0,ALL,Jän.21,FA für Kinder- und Jugendpsychiatrie,241.0,237.0,478.0,Alle
2021-01,34.0,ALL,Jän.21,FA für medizinische Biologie,,,,Alle
2021-01,50.0,ALL,Jän.21,FA für medizinische und chemische Labordiagnostik,102.0,166.0,268.0,Alle
2021-01,53.0,ALL,Jän.21,FA für Pathologie und Histologie,43.0,22.0,65.0,Alle
2021-01,55.0,ALL,Jän.21,FA für Hygiene und Mikrobiologie bzw. Labordiagnostik,31.0,12.0,43.0,Alle
2021-01,,ALL,Jän.21,Gesamt,171906.0,96712.0,268618.0,Alle
2021-02,5.0,ALL,Feb.21,FA für Haut- und Geschlechtskrankheiten,21988.0,6655.0,28643.0,Alle
2021-02,6.0,ALL,Feb.21,FA für Frauenheilkunde und Geburtshilfe,44197.0,13851.0,58048.0,Alle
2021-02,7.0,ALL,Feb.21,FA für Innere Medizin,23227.0,4978.0,28205.0,Alle
2021-02,8.0,ALL,Feb.21,FA für Kinder- und Jugendheilkunde,14331.0,8646.0,22977.0,Alle
2021-02,9.0,ALL,Feb.21,"FA für Hals-, Nasen- und Ohrenerkrankungen",5115.0,1779.0,6894.0,Alle
2021-02,10.0,ALL,Feb.21,FA für Lungenkrankheiten,3879.0,2125.0,6004.0,Alle
2021-02,11.0,ALL,Feb.21,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,4978.0,1424.0,6402.0,Alle
2021-02,12.0,ALL,Feb.21,FA für Orthopädie und orthopädische Chirurgie,15643.0,4132.0,19775.0,Alle
2021-02,13.0,ALL,Feb.21,FA für Physikalische Medizin,698.0,221.0,919.0,Alle
2021-02,14.0,ALL,Feb.21,FA für Radiologie,1568.0,504.0,2072.0,Alle
2021-02,15.0,ALL,Feb.21,FA für Unfallchirurgie,4526.0,1273.0,5799.0,Alle
2021-02,16.0,ALL,Feb.21,FA für Urologie,6110.0,1285.0,7395.0,Alle
2021-02,18.0,ALL,Feb.21,FA für Neurochirurgie,867.0,188.0,1055.0,Alle
2021-02,19.0,ALL,Feb.21,FA für Neurologie,3981.0,1031.0,5012.0,Alle
2021-02,20.0,ALL,Feb.21,FA für Psychiatrie,4585.0,1834.0,6419.0,Alle
2021-02,21.0,ALL,Feb.21,FA für Plastische Chirurgie,266.0,130.0,396.0,Alle
2021-02,22.0,ALL,Feb.21,FA für Kinderchirurgie,80.0,97.0,177.0,Alle
2021-02,23.0,ALL,Feb.21,"FA für Mund., Kiefer- und Gesichtschirurgie",426.0,85.0,511.0,Alle
2021-02,24.0,ALL,Feb.21,FA für Nuklearmedizin,798.0,236.0,1034.0,Alle
2021-02,26.0,ALL,Feb.21,FA für Strahlentherapie - Radioonkologie,27.0,7.0,34.0,Alle
2021-02,29.0,ALL,Feb.21,FA für Immunologie,2.0,3.0,5.0,Alle
2021-02,32.0,ALL,Feb.21,FA für Kinder- und Jugendpsychiatrie,287.0,153.0,440.0,Alle
2021-02,34.0,ALL,Feb.21,FA für medizinische Biologie,,,,Alle
2021-02,50.0,ALL,Feb.21,FA für medizinische und chemische Labordiagnostik,144.0,135.0,279.0,Alle
2021-02,53.0,ALL,Feb.21,FA für Pathologie und Histologie,53.0,20.0,73.0,Alle
