Date,FG-Code,LST,Monat.Jahr,Fachrichtung,postal,online,Gesamt,Bundesland_pretty
2021-01,5.0,ÖGK-B,Jän.21,FA für Haut- und Geschlechtskrankheiten,419.0,134.0,553.0,Burgenland
2021-01,6.0,ÖGK-B,Jän.21,FA für Frauenheilkunde und Geburtshilfe,521.0,736.0,1257.0,Burgenland
2021-01,7.0,ÖGK-B,Jän.21,FA für Innere Medizin,538.0,101.0,639.0,Burgenland
2021-01,8.0,ÖGK-B,Jän.21,FA für Kinder- und Jugendheilkunde,107.0,48.0,155.0,Burgenland
2021-01,9.0,ÖGK-B,Jän.21,"FA für Hals-, Nasen- und Ohrenerkrankungen",119.0,27.0,146.0,Burgenland
2021-01,10.0,ÖGK-B,Jän.21,FA für Lungenkrankheiten,12.0,2.0,14.0,Burgenland
2021-01,11.0,ÖGK-B,Jän.21,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,121.0,30.0,151.0,Burgenland
2021-01,12.0,ÖGK-B,Jän.21,FA für Orthopädie und orthopädische Chirurgie,459.0,121.0,580.0,Burgenland
2021-01,13.0,ÖGK-B,Jän.21,FA für Physikalische Medizin,3.0,4.0,7.0,Burgenland
2021-01,14.0,ÖGK-B,Jän.21,FA für Radiologie,14.0,7.0,21.0,Burgenland
2021-01,15.0,ÖGK-B,Jän.21,FA für Unfallchirurgie,80.0,21.0,101.0,Burgenland
2021-01,16.0,ÖGK-B,Jän.21,FA für Urologie,168.0,98.0,266.0,Burgenland
2021-01,18.0,ÖGK-B,Jän.21,FA für Neurochirurgie,9.0,,9.0,Burgenland
2021-01,19.0,ÖGK-B,Jän.21,FA für Neurologie,55.0,12.0,67.0,Burgenland
2021-01,20.0,ÖGK-B,Jän.21,FA für Psychiatrie,67.0,33.0,100.0,Burgenland
2021-01,21.0,ÖGK-B,Jän.21,FA für Plastische Chirurgie,6.0,2.0,8.0,Burgenland
2021-01,22.0,ÖGK-B,Jän.21,FA für Kinderchirurgie,,,,Burgenland
2021-01,23.0,ÖGK-B,Jän.21,"FA für Mund., Kiefer- und Gesichtschirurgie",1.0,,1.0,Burgenland
2021-01,24.0,ÖGK-B,Jän.21,FA für Nuklearmedizin,3.0,3.0,6.0,Burgenland
2021-01,26.0,ÖGK-B,Jän.21,FA für Strahlentherapie - Radioonkologie,,,,Burgenland
2021-01,29.0,ÖGK-B,Jän.21,FA für Immunologie,,,,Burgenland
2021-01,32.0,ÖGK-B,Jän.21,FA für Kinder- und Jugendpsychiatrie,,,,Burgenland
2021-01,34.0,ÖGK-B,Jän.21,FA für medizinische Biologie,,,,Burgenland
2021-01,50.0,ÖGK-B,Jän.21,FA für medizinische und chemische Labordiagnostik,,,,Burgenland
2021-01,53.0,ÖGK-B,Jän.21,FA für Pathologie und Histologie,,1.0,1.0,Burgenland
2021-01,55.0,ÖGK-B,Jän.21,FA für Hygiene und Mikrobiologie bzw. Labordiagnostik,,,,Burgenland
2021-01,,ÖGK-B,Jän.21,Gesamt,3819.0,2111.0,5930.0,Burgenland
2021-02,5.0,ÖGK-B,Feb.21,FA für Haut- und Geschlechtskrankheiten,739.0,86.0,825.0,Burgenland
2021-02,6.0,ÖGK-B,Feb.21,FA für Frauenheilkunde und Geburtshilfe,973.0,450.0,1423.0,Burgenland
2021-02,7.0,ÖGK-B,Feb.21,FA für Innere Medizin,894.0,50.0,944.0,Burgenland
2021-02,8.0,ÖGK-B,Feb.21,FA für Kinder- und Jugendheilkunde,211.0,23.0,234.0,Burgenland
2021-02,9.0,ÖGK-B,Feb.21,"FA für Hals-, Nasen- und Ohrenerkrankungen",258.0,18.0,276.0,Burgenland
2021-02,10.0,ÖGK-B,Feb.21,FA für Lungenkrankheiten,21.0,1.0,22.0,Burgenland
2021-02,11.0,ÖGK-B,Feb.21,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,230.0,18.0,248.0,Burgenland
2021-02,12.0,ÖGK-B,Feb.21,FA für Orthopädie und orthopädische Chirurgie,850.0,81.0,931.0,Burgenland
2021-02,13.0,ÖGK-B,Feb.21,FA für Physikalische Medizin,6.0,1.0,7.0,Burgenland
2021-02,14.0,ÖGK-B,Feb.21,FA für Radiologie,22.0,1.0,23.0,Burgenland
2021-02,15.0,ÖGK-B,Feb.21,FA für Unfallchirurgie,152.0,16.0,168.0,Burgenland
2021-02,16.0,ÖGK-B,Feb.21,FA für Urologie,232.0,65.0,297.0,Burgenland
2021-02,18.0,ÖGK-B,Feb.21,FA für Neurochirurgie,22.0,2.0,24.0,Burgenland
2021-02,19.0,ÖGK-B,Feb.21,FA für Neurologie,113.0,7.0,120.0,Burgenland
2021-02,20.0,ÖGK-B,Feb.21,FA für Psychiatrie,140.0,16.0,156.0,Burgenland
2021-02,21.0,ÖGK-B,Feb.21,FA für Plastische Chirurgie,3.0,2.0,5.0,Burgenland
2021-02,22.0,ÖGK-B,Feb.21,FA für Kinderchirurgie,,,,Burgenland
2021-02,23.0,ÖGK-B,Feb.21,"FA für Mund., Kiefer- und Gesichtschirurgie",3.0,,3.0,Burgenland
2021-02,24.0,ÖGK-B,Feb.21,FA für Nuklearmedizin,2.0,1.0,3.0,Burgenland
2021-02,26.0,ÖGK-B,Feb.21,FA für Strahlentherapie - Radioonkologie,,,,Burgenland
2021-02,29.0,ÖGK-B,Feb.21,FA für Immunologie,,,,Burgenland
2021-02,32.0,ÖGK-B,Feb.21,FA für Kinder- und Jugendpsychiatrie,,,,Burgenland
2021-02,34.0,ÖGK-B,Feb.21,FA für medizinische Biologie,,,,Burgenland
2021-02,50.0,ÖGK-B,Feb.21,FA für medizinische und chemische Labordiagnostik,1.0,,1.0,Burgenland
2021-02,53.0,ÖGK-B,Feb.21,FA für Pathologie und Histologie,,,,Burgenland
2021-02,55.0,ÖGK-B,Feb.21,FA für Hygiene und Mikrobiologie bzw. Labordiagnostik,,,,Burgenland
2021-02,,ÖGK-B,Feb.21,Gesamt,6905.0,1309.0,8214.0,Burgenland
2021-03,5.0,ÖGK-B,Mär.21,FA für Haut- und Geschlechtskrankheiten,774.0,97.0,871.0,Burgenland
2021-03,6.0,ÖGK-B,Mär.21,FA für Frauenheilkunde und Geburtshilfe,984.0,502.0,1486.0,Burgenland
2021-03,7.0,ÖGK-B,Mär.21,FA für Innere Medizin,963.0,57.0,1020.0,Burgenland
2021-03,8.0,ÖGK-B,Mär.21,FA für Kinder- und Jugendheilkunde,264.0,45.0,309.0,Burgenland
2021-03,9.0,ÖGK-B,Mär.21,"FA für Hals-, Nasen- und Ohrenerkrankungen",207.0,25.0,232.0,Burgenland
2021-03,10.0,ÖGK-B,Mär.21,FA für Lungenkrankheiten,8.0,7.0,15.0,Burgenland
2021-03,11.0,ÖGK-B,Mär.21,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,242.0,13.0,255.0,Burgenland
2021-03,12.0,ÖGK-B,Mär.21,FA für Orthopädie und orthopädische Chirurgie,825.0,83.0,908.0,Burgenland
2021-03,13.0,ÖGK-B,Mär.21,FA für Physikalische Medizin,10.0,1.0,11.0,Burgenland
2021-03,14.0,ÖGK-B,Mär.21,FA für Radiologie,32.0,2.0,34.0,Burgenland
2021-03,15.0,ÖGK-B,Mär.21,FA für Unfallchirurgie,189.0,11.0,200.0,Burgenland
2021-03,16.0,ÖGK-B,Mär.21,FA für Urologie,310.0,76.0,386.0,Burgenland
2021-03,18.0,ÖGK-B,Mär.21,FA für Neurochirurgie,44.0,3.0,47.0,Burgenland
2021-03,19.0,ÖGK-B,Mär.21,FA für Neurologie,182.0,9.0,191.0,Burgenland
2021-03,20.0,ÖGK-B,Mär.21,FA für Psychiatrie,167.0,20.0,187.0,Burgenland
2021-03,21.0,ÖGK-B,Mär.21,FA für Plastische Chirurgie,12.0,1.0,13.0,Burgenland
2021-03,22.0,ÖGK-B,Mär.21,FA für Kinderchirurgie,,,,Burgenland
2021-03,23.0,ÖGK-B,Mär.21,"FA für Mund., Kiefer- und Gesichtschirurgie",3.0,1.0,4.0,Burgenland
2021-03,24.0,ÖGK-B,Mär.21,FA für Nuklearmedizin,4.0,1.0,5.0,Burgenland
2021-03,26.0,ÖGK-B,Mär.21,FA für Strahlentherapie - Radioonkologie,,,,Burgenland
2021-03,29.0,ÖGK-B,Mär.21,FA für Immunologie,,,,Burgenland
2021-03,32.0,ÖGK-B,Mär.21,FA für Kinder- und Jugendpsychiatrie,,,,Burgenland
2021-03,34.0,ÖGK-B,Mär.21,FA für medizinische Biologie,,,,Burgenland
2021-03,50.0,ÖGK-B,Mär.21,FA für medizinische und chemische Labordiagnostik,1.0,,1.0,Burgenland
2021-03,53.0,ÖGK-B,Mär.21,FA für Pathologie und Histologie,,,,Burgenland
2021-03,55.0,ÖGK-B,Mär.21,FA für Hygiene und Mikrobiologie bzw. Labordiagnostik,,,,Burgenland
2021-03,,ÖGK-B,Mär.21,Gesamt,7642.0,1422.0,9064.0,Burgenland
2021-04,5.0,ÖGK-B,Apr.21,FA für Haut- und Geschlechtskrankheiten,857.0,78.0,935.0,Burgenland
2021-04,6.0,ÖGK-B,Apr.21,FA für Frauenheilkunde und Geburtshilfe,1091.0,483.0,1574.0,Burgenland
2021-04,7.0,ÖGK-B,Apr.21,FA für Innere Medizin,1109.0,62.0,1171.0,Burgenland
2021-04,8.0,ÖGK-B,Apr.21,FA für Kinder- und Jugendheilkunde,191.0,42.0,233.0,Burgenland
2021-04,9.0,ÖGK-B,Apr.21,"FA für Hals-, Nasen- und Ohrenerkrankungen",288.0,16.0,304.0,Burgenland
2021-04,10.0,ÖGK-B,Apr.21,FA für Lungenkrankheiten,25.0,4.0,29.0,Burgenland
2021-04,11.0,ÖGK-B,Apr.21,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,248.0,11.0,259.0,Burgenland
2021-04,12.0,ÖGK-B,Apr.21,FA für Orthopädie und orthopädische Chirurgie,800.0,61.0,861.0,Burgenland
2021-04,13.0,ÖGK-B,Apr.21,FA für Physikalische Medizin,1.0,5.0,6.0,Burgenland
2021-04,14.0,ÖGK-B,Apr.21,FA für Radiologie,32.0,2.0,34.0,Burgenland
2021-04,15.0,ÖGK-B,Apr.21,FA für Unfallchirurgie,149.0,18.0,167.0,Burgenland
2021-04,16.0,ÖGK-B,Apr.21,FA für Urologie,277.0,79.0,356.0,Burgenland
2021-04,18.0,ÖGK-B,Apr.21,FA für Neurochirurgie,15.0,1.0,16.0,Burgenland
2021-04,19.0,ÖGK-B,Apr.21,FA für Neurologie,145.0,9.0,154.0,Burgenland
2021-04,20.0,ÖGK-B,Apr.21,FA für Psychiatrie,177.0,26.0,203.0,Burgenland
2021-04,21.0,ÖGK-B,Apr.21,FA für Plastische Chirurgie,3.0,6.0,9.0,Burgenland
2021-04,22.0,ÖGK-B,Apr.21,FA für Kinderchirurgie,,,,Burgenland
2021-04,23.0,ÖGK-B,Apr.21,"FA für Mund., Kiefer- und Gesichtschirurgie",1.0,2.0,3.0,Burgenland
2021-04,24.0,ÖGK-B,Apr.21,FA für Nuklearmedizin,5.0,1.0,6.0,Burgenland
2021-04,26.0,ÖGK-B,Apr.21,FA für Strahlentherapie - Radioonkologie,,,,Burgenland
2021-04,29.0,ÖGK-B,Apr.21,FA für Immunologie,,,,Burgenland
2021-04,32.0,ÖGK-B,Apr.21,FA für Kinder- und Jugendpsychiatrie,,,,Burgenland
2021-04,34.0,ÖGK-B,Apr.21,FA für medizinische Biologie,,,,Burgenland
2021-04,50.0,ÖGK-B,Apr.21,FA für medizinische und chemische Labordiagnostik,1.0,,1.0,Burgenland
2021-04,53.0,ÖGK-B,Apr.21,FA für Pathologie und Histologie,,1.0,1.0,Burgenland
2021-04,55.0,ÖGK-B,Apr.21,FA für Hygiene und Mikrobiologie bzw. Labordiagnostik,,,,Burgenland
2021-04,,ÖGK-B,Apr.21,Gesamt,7472.0,1399.0,8871.0,Burgenland
2021-05,5.0,ÖGK-B,Mai.21,FA für Haut- und Geschlechtskrankheiten,651.0,152.0,803.0,Burgenland
2021-05,6.0,ÖGK-B,Mai.21,FA für Frauenheilkunde und Geburtshilfe,947.0,674.0,1621.0,Burgenland
2021-05,7.0,ÖGK-B,Mai.21,FA für Innere Medizin,887.0,109.0,996.0,Burgenland
2021-05,8.0,ÖGK-B,Mai.21,FA für Kinder- und Jugendheilkunde,222.0,48.0,270.0,Burgenland
2021-05,9.0,ÖGK-B,Mai.21,"FA für Hals-, Nasen- und Ohrenerkrankungen",240.0,17.0,257.0,Burgenland
2021-05,10.0,ÖGK-B,Mai.21,FA für Lungenkrankheiten,12.0,3.0,15.0,Burgenland
2021-05,11.0,ÖGK-B,Mai.21,FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie,192.0,24.0,216.0,Burgenland
2021-05,12.0,ÖGK-B,Mai.21,FA für Orthopädie und orthopädische Chirurgie,832.0,162.0,994.0,Burgenland
2021-05,13.0,ÖGK-B,Mai.21,FA für Physikalische Medizin,2.0,3.0,5.0,Burgenland
2021-05,14.0,ÖGK-B,Mai.21,FA für Radiologie,28.0,1.0,29.0,Burgenland
2021-05,15.0,ÖGK-B,Mai.21,FA für Unfallchirurgie,175.0,15.0,190.0,Burgenland
2021-05,16.0,ÖGK-B,Mai.21,FA für Urologie,242.0,78.0,320.0,Burgenland
2021-05,18.0,ÖGK-B,Mai.21,FA für Neurochirurgie,21.0,3.0,24.0,Burgenland
2021-05,19.0,ÖGK-B,Mai.21,FA für Neurologie,125.0,15.0,140.0,Burgenland
2021-05,20.0,ÖGK-B,Mai.21,FA für Psychiatrie,130.0,23.0,153.0,Burgenland
2021-05,21.0,ÖGK-B,Mai.21,FA für Plastische Chirurgie,7.0,1.0,8.0,Burgenland
2021-05,22.0,ÖGK-B,Mai.21,FA für Kinderchirurgie,,,,Burgenland
2021-05,23.0,ÖGK-B,Mai.21,"FA für Mund., Kiefer- und Gesichtschirurgie",4.0,,4.0,Burgenland
2021-05,24.0,ÖGK-B,Mai.21,FA für Nuklearmedizin,3.0,1.0,4.0,Burgenland
2021-05,26.0,ÖGK-B,Mai.21,FA für Strahlentherapie - Radioonkologie,,,,Burgenland
2021-05,29.0,ÖGK-B,Mai.21,FA für Immunologie,,,,Burgenland
2021-05,32.0,ÖGK-B,Mai.21,FA für Kinder- und Jugendpsychiatrie,,,,Burgenland
2021-05,34.0,ÖGK-B,Mai.21,FA für medizinische Biologie,,,,Burgenland
2021-05,50.0,ÖGK-B,Mai.21,FA für medizinische und chemische Labordiagnostik,1.0,,1.0,Burgenland
2021-05,53.0,ÖGK-B,Mai.21,FA für Pathologie und Histologie,1.0,,1.0,Burgenland
2021-05,55.0,ÖGK-B,Mai.21,FA für Hygiene und Mikrobiologie bzw. Labordiagnostik,,,,Burgenland
2021-05,,ÖGK-B,Mai.21,Gesamt,6552.0,2033.0,8585.0,Burgenland
2021-06,5.0,ÖGK-B,Jun.21,FA für Haut- und Geschlechtskrankheiten,426.0,103.0,529.0,Burgenland
2021-06,6.0,ÖGK-B,Jun.21,FA für Frauenheilkunde und Geburtshilfe,592.0,492.0,1084.0,Burgenland
