Date,LST,Monat.Jahr,Postal,OnlineMeine,OnlineWAH,Year,Bundesland_pretty
2023-01,ÖGK-B,Jän.23,29,39,,2023,Burgenland
2023-02,ÖGK-B,Feb.23,48,56,,2023,Burgenland
2023-03,ÖGK-B,Mär.23,45,41,,2023,Burgenland
2023-04,ÖGK-B,Apr.23,78,70,,2023,Burgenland
2023-05,ÖGK-B,Mai.23,95,95,48.0,2023,Burgenland
2023-06,ÖGK-B,Jun.23,105,98,27.0,2023,Burgenland
2023-07,ÖGK-B,Jul.23,102,97,15.0,2023,Burgenland
2023-08,ÖGK-B,Aug.23,108,123,17.0,2023,Burgenland
2023-09,ÖGK-B,Sep.23,112,105,24.0,2023,Burgenland
2023-10,ÖGK-B,Okt.23,64,64,20.0,2023,Burgenland
2023-11,ÖGK-B,Nov.23,48,48,34.0,2023,Burgenland
2023-12,ÖGK-B,Dez.23,39,39,50.0,2023,Burgenland
2023-01,ÖGK-K,Jän.23,72,45,,2023,Kärnten
2023-02,ÖGK-K,Feb.23,85,53,,2023,Kärnten
2023-03,ÖGK-K,Mär.23,84,69,,2023,Kärnten
2023-04,ÖGK-K,Apr.23,87,80,,2023,Kärnten
2023-05,ÖGK-K,Mai.23,92,97,42.0,2023,Kärnten
2023-06,ÖGK-K,Jun.23,84,83,27.0,2023,Kärnten
2023-07,ÖGK-K,Jul.23,63,78,35.0,2023,Kärnten
2023-08,ÖGK-K,Aug.23,58,68,34.0,2023,Kärnten
2023-09,ÖGK-K,Sep.23,60,63,18.0,2023,Kärnten
2023-10,ÖGK-K,Okt.23,47,46,13.0,2023,Kärnten
2023-11,ÖGK-K,Nov.23,25,25,13.0,2023,Kärnten
2023-12,ÖGK-K,Dez.23,20,20,13.0,2023,Kärnten
2023-01,ÖGK-N,Jän.23,42,17,,2023,Niederösterreich
2023-02,ÖGK-N,Feb.23,41,17,,2023,Niederösterreich
2023-03,ÖGK-N,Mär.23,49,17,,2023,Niederösterreich
2023-04,ÖGK-N,Apr.23,50,28,,2023,Niederösterreich
2023-05,ÖGK-N,Mai.23,61,28,14.0,2023,Niederösterreich
2023-06,ÖGK-N,Jun.23,60,35,14.0,2023,Niederösterreich
2023-07,ÖGK-N,Jul.23,55,35,14.0,2023,Niederösterreich
2023-08,ÖGK-N,Aug.23,76,42,14.0,2023,Niederösterreich
2023-09,ÖGK-N,Sep.23,81,42,14.0,2023,Niederösterreich
2023-10,ÖGK-N,Okt.23,103,72,14.0,2023,Niederösterreich
2023-11,ÖGK-N,Nov.23,78,78,14.0,2023,Niederösterreich
2023-12,ÖGK-N,Dez.23,89,89,14.0,2023,Niederösterreich
2023-01,ÖGK-O,Jän.23,25,21,,2023,Oberösterreich
2023-02,ÖGK-O,Feb.23,25,29,,2023,Oberösterreich
2023-03,ÖGK-O,Mär.23,26,20,,2023,Oberösterreich
2023-04,ÖGK-O,Apr.23,28,15,,2023,Oberösterreich
2023-05,ÖGK-O,Mai.23,32,23,0.0,2023,Oberösterreich
2023-06,ÖGK-O,Jun.23,27,28,4.0,2023,Oberösterreich
2023-07,ÖGK-O,Jul.23,24,29,11.0,2023,Oberösterreich
2023-08,ÖGK-O,Aug.23,28,30,17.0,2023,Oberösterreich
2023-09,ÖGK-O,Sep.23,35,18,18.0,2023,Oberösterreich
2023-10,ÖGK-O,Okt.23,32,32,28.0,2023,Oberösterreich
2023-11,ÖGK-O,Nov.23,38,38,14.0,2023,Oberösterreich
2023-12,ÖGK-O,Dez.23,43,43,19.0,2023,Oberösterreich
2023-01,ÖGK-S,Jän.23,27,26,,2023,Salzburg
2023-02,ÖGK-S,Feb.23,25,25,,2023,Salzburg
2023-03,ÖGK-S,Mär.23,23,21,,2023,Salzburg
2023-04,ÖGK-S,Apr.23,21,24,,2023,Salzburg
2023-05,ÖGK-S,Mai.23,27,34,14.0,2023,Salzburg
2023-06,ÖGK-S,Jun.23,35,26,10.0,2023,Salzburg
2023-07,ÖGK-S,Jul.23,25,26,13.0,2023,Salzburg
2023-08,ÖGK-S,Aug.23,21,21,10.0,2023,Salzburg
2023-09,ÖGK-S,Sep.23,14,14,10.0,2023,Salzburg
2023-10,ÖGK-S,Okt.23,15,15,17.0,2023,Salzburg
2023-11,ÖGK-S,Nov.23,15,15,13.0,2023,Salzburg
2023-12,ÖGK-S,Dez.23,18,18,19.0,2023,Salzburg
2023-01,ÖGK-ST,Jän.23,71,71,,2023,Steiermark
2023-02,ÖGK-ST,Feb.23,80,80,,2023,Steiermark
2023-03,ÖGK-ST,Mär.23,86,85,,2023,Steiermark
2023-04,ÖGK-ST,Apr.23,87,87,,2023,Steiermark
2023-05,ÖGK-ST,Mai.23,95,95,14.0,2023,Steiermark
2023-06,ÖGK-ST,Jun.23,105,105,14.0,2023,Steiermark
2023-07,ÖGK-ST,Jul.23,102,102,14.0,2023,Steiermark
2023-08,ÖGK-ST,Aug.23,112,112,14.0,2023,Steiermark
2023-09,ÖGK-ST,Sep.23,106,106,14.0,2023,Steiermark
2023-10,ÖGK-ST,Okt.23,100,100,14.0,2023,Steiermark
2023-11,ÖGK-ST,Nov.23,73,73,14.0,2023,Steiermark
2023-12,ÖGK-ST,Dez.23,81,81,14.0,2023,Steiermark
2023-01,ÖGK-T,Jän.23,61,8,,2023,Tirol
2023-02,ÖGK-T,Feb.23,60,21,,2023,Tirol
2023-03,ÖGK-T,Mär.23,58,21,,2023,Tirol
2023-04,ÖGK-T,Apr.23,61,21,,2023,Tirol
2023-05,ÖGK-T,Mai.23,63,28,2.0,2023,Tirol
2023-06,ÖGK-T,Jun.23,65,28,2.0,2023,Tirol
2023-07,ÖGK-T,Jul.23,67,28,2.0,2023,Tirol
2023-08,ÖGK-T,Aug.23,69,28,2.0,2023,Tirol
2023-09,ÖGK-T,Sep.23,67,28,2.0,2023,Tirol
2023-10,ÖGK-T,Okt.23,56,56,2.0,2023,Tirol
2023-11,ÖGK-T,Nov.23,44,44,2.0,2023,Tirol
2023-12,ÖGK-T,Dez.23,30,30,2.0,2023,Tirol
2023-01,ÖGK-V,Jän.23,42,42,,2023,Vorarlberg
2023-02,ÖGK-V,Feb.23,56,56,,2023,Vorarlberg
2023-03,ÖGK-V,Mär.23,70,70,,2023,Vorarlberg
2023-04,ÖGK-V,Apr.23,77,77,,2023,Vorarlberg
2023-05,ÖGK-V,Mai.23,77,77,,2023,Vorarlberg
2023-06,ÖGK-V,Jun.23,84,84,,2023,Vorarlberg
2023-07,ÖGK-V,Jul.23,84,84,,2023,Vorarlberg
2023-08,ÖGK-V,Aug.23,77,77,,2023,Vorarlberg
2023-09,ÖGK-V,Sep.23,77,77,,2023,Vorarlberg
2023-10,ÖGK-V,Okt.23,63,63,,2023,Vorarlberg
2023-11,ÖGK-V,Nov.23,63,63,,2023,Vorarlberg
2023-12,ÖGK-V,Dez.23,77,77,,2023,Vorarlberg
2023-01,ÖGK-W,Jän.23,50,48,,2023,Wien
2023-02,ÖGK-W,Feb.23,48,48,,2023,Wien
2023-03,ÖGK-W,Mär.23,48,42,,2023,Wien
2023-04,ÖGK-W,Apr.23,54,46,,2023,Wien
