Date,LST,Monat.Jahr,Postal,OnlineMeine,Bundesland_pretty
2022-01,ÖGK-B,Jän.22,100,100,Burgenland
2022-02,ÖGK-B,Feb.22,109,109,Burgenland
2022-03,ÖGK-B,Mär.22,111,114,Burgenland
2022-04,ÖGK-B,Apr.22,108,108,Burgenland
2022-05,ÖGK-B,Mai.22,73,77,Burgenland
2022-06,ÖGK-B,Jun.22,42,63,Burgenland
2022-07,ÖGK-B,Jul.22,24,35,Burgenland
2022-08,ÖGK-B,Aug.22,19,27,Burgenland
2022-09,ÖGK-B,Sep.22,14,25,Burgenland
2022-10,ÖGK-B,Okt.22,15,18,Burgenland
2022-11,ÖGK-B,Nov.22,21,22,Burgenland
2022-12,ÖGK-B,Dez.22,48,45,Burgenland
2021-01,ÖGK-B,Jän.21,63,10,Burgenland
2021-02,ÖGK-B,Feb.21,63,15,Burgenland
2021-03,ÖGK-B,Mär.21,48,42,Burgenland
2021-04,ÖGK-B,Apr.21,44,46,Burgenland
2021-05,ÖGK-B,Mai.21,49,49,Burgenland
2021-06,ÖGK-B,Jun.21,55,54,Burgenland
2021-07,ÖGK-B,Jul.21,74,74,Burgenland
2021-08,ÖGK-B,Aug.21,76,76,Burgenland
2021-09,ÖGK-B,Sep.21,74,74,Burgenland
2021-10,ÖGK-B,Okt.21,75,75,Burgenland
2021-11,ÖGK-B,Nov.21,75,74,Burgenland
2021-12,ÖGK-B,Dez.21,94,91,Burgenland
2023-01,ÖGK-B,Jän.23,29,39,Burgenland
2023-02,ÖGK-B,Feb.23,48,56,Burgenland
2023-03,ÖGK-B,Mär.23,45,41,Burgenland
2023-04,ÖGK-B,Apr.23,78,70,Burgenland
2023-05,ÖGK-B,Mai.23,95,95,Burgenland
2022-01,ÖGK-K,Jän.22,35,5,Kärnten
2022-02,ÖGK-K,Feb.22,35,5,Kärnten
2022-03,ÖGK-K,Mär.22,35,5,Kärnten
2022-04,ÖGK-K,Apr.22,35,5,Kärnten
2022-05,ÖGK-K,Mai.22,76,8,Kärnten
2022-06,ÖGK-K,Jun.22,85,7,Kärnten
2022-07,ÖGK-K,Jul.22,85,4,Kärnten
2022-08,ÖGK-K,Aug.22,92,11,Kärnten
2022-09,ÖGK-K,Sep.22,103,10,Kärnten
2022-10,ÖGK-K,Okt.22,101,17,Kärnten
2022-11,ÖGK-K,Nov.22,122,21,Kärnten
2022-12,ÖGK-K,Dez.22,133,40,Kärnten
2021-01,ÖGK-K,Jän.21,7,4,Kärnten
2021-02,ÖGK-K,Feb.21,5,3,Kärnten
2021-03,ÖGK-K,Mär.21,3,2,Kärnten
2021-04,ÖGK-K,Apr.21,3,2,Kärnten
2021-05,ÖGK-K,Mai.21,8,6,Kärnten
2021-06,ÖGK-K,Jun.21,3,2,Kärnten
2021-07,ÖGK-K,Jul.21,3,2,Kärnten
2021-08,ÖGK-K,Aug.21,7,4,Kärnten
2021-09,ÖGK-K,Sep.21,9,1,Kärnten
2021-10,ÖGK-K,Okt.21,11,1,Kärnten
2021-11,ÖGK-K,Nov.21,11,1,Kärnten
2021-12,ÖGK-K,Dez.21,30,5,Kärnten
2023-01,ÖGK-K,Jän.23,72,45,Kärnten
2023-02,ÖGK-K,Feb.23,85,53,Kärnten
2023-03,ÖGK-K,Mär.23,84,69,Kärnten
2023-04,ÖGK-K,Apr.23,87,80,Kärnten
2023-05,ÖGK-K,Mai.23,92,97,Kärnten
2022-01,ÖGK-N,Jän.22,43,9,Niederösterreich
2022-02,ÖGK-N,Feb.22,40,7,Niederösterreich
2022-03,ÖGK-N,Mär.22,39,7,Niederösterreich
2022-04,ÖGK-N,Apr.22,40,7,Niederösterreich
2022-05,ÖGK-N,Mai.22,40,7,Niederösterreich
2022-06,ÖGK-N,Jun.22,35,10,Niederösterreich
2022-07,ÖGK-N,Jul.22,33,10,Niederösterreich
2022-08,ÖGK-N,Aug.22,21,10,Niederösterreich
2022-09,ÖGK-N,Sep.22,11,10,Niederösterreich
2022-10,ÖGK-N,Okt.22,21,14,Niederösterreich
2022-11,ÖGK-N,Nov.22,25,17,Niederösterreich
2022-12,ÖGK-N,Dez.22,42,17,Niederösterreich
2021-01,ÖGK-N,Jän.21,80,5,Niederösterreich
2021-02,ÖGK-N,Feb.21,74,15,Niederösterreich
2021-03,ÖGK-N,Mär.21,74,21,Niederösterreich
2021-04,ÖGK-N,Apr.21,61,21,Niederösterreich
2021-05,ÖGK-N,Mai.21,53,21,Niederösterreich
2021-06,ÖGK-N,Jun.21,48,21,Niederösterreich
2021-07,ÖGK-N,Jul.21,47,21,Niederösterreich
2021-08,ÖGK-N,Aug.21,45,21,Niederösterreich
2021-09,ÖGK-N,Sep.21,35,21,Niederösterreich
2021-10,ÖGK-N,Okt.21,35,15,Niederösterreich
2021-11,ÖGK-N,Nov.21,35,11,Niederösterreich
2021-12,ÖGK-N,Dez.21,46,10,Niederösterreich
2023-01,ÖGK-N,Jän.23,42,17,Niederösterreich
2023-02,ÖGK-N,Feb.23,41,17,Niederösterreich
2023-03,ÖGK-N,Mär.23,49,17,Niederösterreich
2023-04,ÖGK-N,Apr.23,50,28,Niederösterreich
2023-05,ÖGK-N,Mai.23,61,28,Niederösterreich
2022-01,ÖGK-O,Jän.22,133,69,Oberösterreich
2022-02,ÖGK-O,Feb.22,120,59,Oberösterreich
2022-03,ÖGK-O,Mär.22,113,35,Oberösterreich
2022-04,ÖGK-O,Apr.22,107,16,Oberösterreich
2022-05,ÖGK-O,Mai.22,97,6,Oberösterreich
2022-06,ÖGK-O,Jun.22,60,18,Oberösterreich
2022-07,ÖGK-O,Jul.22,34,24,Oberösterreich
2022-08,ÖGK-O,Aug.22,21,15,Oberösterreich
2022-09,ÖGK-O,Sep.22,14,9,Oberösterreich
2022-10,ÖGK-O,Okt.22,12,14,Oberösterreich
2022-11,ÖGK-O,Nov.22,12,12,Oberösterreich
2022-12,ÖGK-O,Dez.22,13,13,Oberösterreich
2021-01,ÖGK-O,Jän.21,70,5,Oberösterreich
2021-02,ÖGK-O,Feb.21,66,11,Oberösterreich
2021-03,ÖGK-O,Mär.21,77,27,Oberösterreich
2021-04,ÖGK-O,Apr.21,91,34,Oberösterreich
2021-05,ÖGK-O,Mai.21,97,44,Oberösterreich
2021-06,ÖGK-O,Jun.21,94,53,Oberösterreich
2021-07,ÖGK-O,Jul.21,98,67,Oberösterreich
2021-08,ÖGK-O,Aug.21,111,88,Oberösterreich
2021-09,ÖGK-O,Sep.21,122,87,Oberösterreich
2021-10,ÖGK-O,Okt.21,134,91,Oberösterreich
2021-11,ÖGK-O,Nov.21,132,83,Oberösterreich
2021-12,ÖGK-O,Dez.21,136,83,Oberösterreich
2023-01,ÖGK-O,Jän.23,25,21,Oberösterreich
2023-02,ÖGK-O,Feb.23,25,29,Oberösterreich
2023-03,ÖGK-O,Mär.23,26,20,Oberösterreich
2023-04,ÖGK-O,Apr.23,28,15,Oberösterreich
2023-05,ÖGK-O,Mai.23,32,23,Oberösterreich
2022-01,ÖGK-S,Jän.22,6,4,Salzburg
2022-02,ÖGK-S,Feb.22,4,4,Salzburg
2022-03,ÖGK-S,Mär.22,3,3,Salzburg
2022-04,ÖGK-S,Apr.22,10,5,Salzburg
2022-05,ÖGK-S,Mai.22,18,12,Salzburg
2022-06,ÖGK-S,Jun.22,20,16,Salzburg
2022-07,ÖGK-S,Jul.22,21,13,Salzburg
2022-08,ÖGK-S,Aug.22,31,28,Salzburg
2022-09,ÖGK-S,Sep.22,24,22,Salzburg
2022-10,ÖGK-S,Okt.22,28,23,Salzburg
2022-11,ÖGK-S,Nov.22,25,22,Salzburg
2022-12,ÖGK-S,Dez.22,30,30,Salzburg
2021-01,ÖGK-S,Jän.21,11,11,Salzburg
2021-02,ÖGK-S,Feb.21,10,10,Salzburg
2021-03,ÖGK-S,Mär.21,9,8,Salzburg
2021-04,ÖGK-S,Apr.21,8,6,Salzburg
2021-05,ÖGK-S,Mai.21,14,10,Salzburg
2021-06,ÖGK-S,Jun.21,6,6,Salzburg
2021-07,ÖGK-S,Jul.21,12,10,Salzburg
2021-08,ÖGK-S,Aug.21,8,8,Salzburg
2021-09,ÖGK-S,Sep.21,5,5,Salzburg
2021-10,ÖGK-S,Okt.21,5,5,Salzburg
2021-11,ÖGK-S,Nov.21,7,6,Salzburg
2021-12,ÖGK-S,Dez.21,12,11,Salzburg
2023-01,ÖGK-S,Jän.23,27,26,Salzburg
2023-02,ÖGK-S,Feb.23,25,25,Salzburg
2023-03,ÖGK-S,Mär.23,23,21,Salzburg
2023-04,ÖGK-S,Apr.23,21,24,Salzburg
2023-05,ÖGK-S,Mai.23,27,34,Salzburg
2022-01,ÖGK-ST,Jän.22,48,38,Steiermark
2022-02,ÖGK-ST,Feb.22,50,38,Steiermark
2022-03,ÖGK-ST,Mär.22,47,47,Steiermark
2022-04,ÖGK-ST,Apr.22,51,51,Steiermark
2022-05,ÖGK-ST,Mai.22,58,58,Steiermark
2022-06,ÖGK-ST,Jun.22,64,64,Steiermark
2022-07,ÖGK-ST,Jul.22,72,72,Steiermark
2022-08,ÖGK-ST,Aug.22,85,85,Steiermark
2022-09,ÖGK-ST,Sep.22,85,85,Steiermark
2022-10,ÖGK-ST,Okt.22,85,85,Steiermark
2022-11,ÖGK-ST,Nov.22,73,73,Steiermark
2022-12,ÖGK-ST,Dez.22,71,69,Steiermark
2021-01,ÖGK-ST,Jän.21,17,10,Steiermark
2021-02,ÖGK-ST,Feb.21,16,11,Steiermark
2021-03,ÖGK-ST,Mär.21,20,20,Steiermark
2021-04,ÖGK-ST,Apr.21,24,24,Steiermark
2021-05,ÖGK-ST,Mai.21,26,21,Steiermark
2021-06,ÖGK-ST,Jun.21,32,24,Steiermark
2021-07,ÖGK-ST,Jul.21,43,36,Steiermark
2021-08,ÖGK-ST,Aug.21,43,39,Steiermark
2021-09,ÖGK-ST,Sep.21,43,35,Steiermark
2021-10,ÖGK-ST,Okt.21,45,33,Steiermark
2021-11,ÖGK-ST,Nov.21,44,36,Steiermark
2021-12,ÖGK-ST,Dez.21,50,39,Steiermark
2023-01,ÖGK-ST,Jän.23,71,71,Steiermark
2023-02,ÖGK-ST,Feb.23,80,80,Steiermark
2023-03,ÖGK-ST,Mär.23,86,85,Steiermark
2023-04,ÖGK-ST,Apr.23,87,87,Steiermark
2023-05,ÖGK-ST,Mai.23,95,95,Steiermark
2022-01,ÖGK-T,Jän.22,23,1,Tirol
2022-02,ÖGK-T,Feb.22,18,1,Tirol
2022-03,ÖGK-T,Mär.22,20,1,Tirol
2022-04,ÖGK-T,Apr.22,19,1,Tirol
2022-05,ÖGK-T,Mai.22,35,1,Tirol
2022-06,ÖGK-T,Jun.22,40,1,Tirol
2022-07,ÖGK-T,Jul.22,48,1,Tirol
2022-08,ÖGK-T,Aug.22,52,8,Tirol
2022-09,ÖGK-T,Sep.22,50,8,Tirol
2022-10,ÖGK-T,Okt.22,52,8,Tirol
2022-11,ÖGK-T,Nov.22,50,8,Tirol
2022-12,ÖGK-T,Dez.22,62,8,Tirol
2021-01,ÖGK-T,Jän.21,3,1,Tirol
2021-02,ÖGK-T,Feb.21,3,1,Tirol
2021-03,ÖGK-T,Mär.21,5,1,Tirol
2021-04,ÖGK-T,Apr.21,4,1,Tirol
2021-05,ÖGK-T,Mai.21,6,1,Tirol
2021-06,ÖGK-T,Jun.21,7,1,Tirol
2021-07,ÖGK-T,Jul.21,11,1,Tirol
2021-08,ÖGK-T,Aug.21,15,1,Tirol
2021-09,ÖGK-T,Sep.21,10,1,Tirol
2021-10,ÖGK-T,Okt.21,7,1,Tirol
2021-11,ÖGK-T,Nov.21,10,1,Tirol
2021-12,ÖGK-T,Dez.21,22,1,Tirol
2023-01,ÖGK-T,Jän.23,61,8,Tirol
2023-02,ÖGK-T,Feb.23,60,21,Tirol
2023-03,ÖGK-T,Mär.23,58,21,Tirol
2023-04,ÖGK-T,Apr.23,61,21,Tirol
2023-05,ÖGK-T,Mai.23,63,28,Tirol
2022-01,ÖGK-V,Jän.22,21,21,Vorarlberg
2022-02,ÖGK-V,Feb.22,21,21,Vorarlberg
2022-03,ÖGK-V,Mär.22,21,21,Vorarlberg
2022-04,ÖGK-V,Apr.22,35,35,Vorarlberg
2022-05,ÖGK-V,Mai.22,28,28,Vorarlberg
2022-06,ÖGK-V,Jun.22,35,35,Vorarlberg
2022-07,ÖGK-V,Jul.22,49,49,Vorarlberg
2022-08,ÖGK-V,Aug.22,49,49,Vorarlberg
2022-09,ÖGK-V,Sep.22,42,42,Vorarlberg
2022-10,ÖGK-V,Okt.22,45,45,Vorarlberg
2022-11,ÖGK-V,Nov.22,38,38,Vorarlberg
2022-12,ÖGK-V,Dez.22,42,42,Vorarlberg
2021-01,ÖGK-V,Jän.21,21,21,Vorarlberg
2021-02,ÖGK-V,Feb.21,20,20,Vorarlberg
2021-03,ÖGK-V,Mär.21,21,21,Vorarlberg
2021-04,ÖGK-V,Apr.21,21,21,Vorarlberg
2021-05,ÖGK-V,Mai.21,42,42,Vorarlberg
2021-06,ÖGK-V,Jun.21,21,21,Vorarlberg
2021-07,ÖGK-V,Jul.21,21,21,Vorarlberg
2021-08,ÖGK-V,Aug.21,21,21,Vorarlberg
2021-09,ÖGK-V,Sep.21,21,21,Vorarlberg
2021-10,ÖGK-V,Okt.21,21,21,Vorarlberg
2021-11,ÖGK-V,Nov.21,21,21,Vorarlberg
2021-12,ÖGK-V,Dez.21,21,21,Vorarlberg
2023-01,ÖGK-V,Jän.23,42,42,Vorarlberg
2023-02,ÖGK-V,Feb.23,56,56,Vorarlberg
2023-03,ÖGK-V,Mär.23,70,70,Vorarlberg
2023-04,ÖGK-V,Apr.23,77,77,Vorarlberg
2023-05,ÖGK-V,Mai.23,77,77,Vorarlberg
2022-01,ÖGK-W,Jän.22,18,18,Wien
2022-02,ÖGK-W,Feb.22,14,13,Wien
2022-03,ÖGK-W,Mär.22,14,15,Wien
2022-04,ÖGK-W,Apr.22,12,12,Wien
2022-05,ÖGK-W,Mai.22,18,18,Wien
2022-06,ÖGK-W,Jun.22,26,23,Wien
2022-07,ÖGK-W,Jul.22,32,33,Wien
2022-08,ÖGK-W,Aug.22,38,39,Wien
2022-09,ÖGK-W,Sep.22,34,38,Wien
2022-10,ÖGK-W,Okt.22,33,32,Wien
2022-11,ÖGK-W,Nov.22,35,37,Wien
2022-12,ÖGK-W,Dez.22,46,42,Wien
2021-01,ÖGK-W,Jän.21,161,9,Wien
2021-02,ÖGK-W,Feb.21,147,14,Wien
2021-03,ÖGK-W,Mär.21,112,28,Wien
2021-04,ÖGK-W,Apr.21,87,31,Wien
2021-05,ÖGK-W,Mai.21,60,35,Wien
2021-06,ÖGK-W,Jun.21,55,39,Wien
2021-07,ÖGK-W,Jul.21,47,35,Wien
2021-08,ÖGK-W,Aug.21,48,20,Wien
2021-09,ÖGK-W,Sep.21,10,11,Wien
2021-10,ÖGK-W,Okt.21,10,7,Wien
2021-11,ÖGK-W,Nov.21,6,3,Wien
2021-12,ÖGK-W,Dez.21,14,12,Wien
2023-01,ÖGK-W,Jän.23,50,48,Wien
2023-02,ÖGK-W,Feb.23,48,48,Wien
2023-03,ÖGK-W,Mär.23,48,42,Wien
2023-04,ÖGK-W,Apr.23,54,46,Wien
2023-05,ÖGK-W,Mai.23,52,55,Wien
