Date,FG-Code,LST,Monat.Jahr,Fachrichtung,postal,online,Gesamt,Bundesland_pretty
2021-01,63.0,ÖGK,Jän.21,Physiotherapie,36960,14272,51232,
2021-01,66.0,ÖGK,Jän.21,Logopäde,2712,1224,3936,
2021-01,75.0,ÖGK,Jän.21,Ergotherapeut,1475,853,2328,
2021-01,,ÖGK,Jän.21,Gesamt,41147,16349,57496,
2021-02,63.0,ÖGK,Feb.21,Physiotherapie,48124,13470,61594,
2021-02,66.0,ÖGK,Feb.21,Logopäde,3564,1084,4648,
2021-02,75.0,ÖGK,Feb.21,Ergotherapeut,1866,700,2566,
2021-02,,ÖGK,Feb.21,Gesamt,53554,15254,68808,
2021-03,63.0,ÖGK,Mär.21,Physiotherapie,48996,14988,63984,
2021-03,66.0,ÖGK,Mär.21,Logopäde,2376,1277,3653,
2021-03,75.0,ÖGK,Mär.21,Ergotherapeut,2143,934,3077,
2021-03,,ÖGK,Mär.21,Gesamt,53515,17199,70714,
2021-04,63.0,ÖGK,Apr.21,Physiotherapie,46917,12630,59547,
2021-04,66.0,ÖGK,Apr.21,Logopäde,2287,1084,3371,
2021-04,75.0,ÖGK,Apr.21,Ergotherapeut,2048,754,2802,
2021-04,,ÖGK,Apr.21,Gesamt,51252,14468,65720,
2021-05,63.0,ÖGK,Mai.21,Physiotherapie,37345,12193,49538,
2021-05,66.0,ÖGK,Mai.21,Logopäde,1668,993,2661,
2021-05,75.0,ÖGK,Mai.21,Ergotherapeut,1587,609,2196,
2021-05,,ÖGK,Mai.21,Gesamt,40600,13795,54395,
2021-06,63.0,ÖGK,Jun.21,Physiotherapie,38660,13542,52202,
2021-06,66.0,ÖGK,Jun.21,Logopäde,2016,1281,3297,
2021-06,75.0,ÖGK,Jun.21,Ergotherapeut,1874,731,2605,
2021-06,,ÖGK,Jun.21,Gesamt,42550,15554,58104,
2021-07,63.0,ÖGK,Jul.21,Physiotherapie,37868,15673,53541,
2021-07,66.0,ÖGK,Jul.21,Logopäde,1913,1419,3332,
2021-07,75.0,ÖGK,Jul.21,Ergotherapeut,3226,1259,4485,
2021-07,,ÖGK,Jul.21,Gesamt,43007,18351,61358,
2021-08,63.0,ÖGK,Aug.21,Physiotherapie,34538,15734,50272,
2021-08,66.0,ÖGK,Aug.21,Logopäde,1812,1602,3414,
2021-08,75.0,ÖGK,Aug.21,Ergotherapeut,2093,1027,3120,
2021-08,,ÖGK,Aug.21,Gesamt,38443,18363,56806,
2021-09,63.0,ÖGK,Sep.21,Physiotherapie,42570,15856,58426,
2021-09,66.0,ÖGK,Sep.21,Logopäde,3294,1476,4770,
2021-09,75.0,ÖGK,Sep.21,Ergotherapeut,2280,1086,3366,
2021-09,,ÖGK,Sep.21,Gesamt,48144,18418,66562,
2021-10,63.0,ÖGK,Okt.21,Physiotherapie,40957,17965,58922,
2021-10,66.0,ÖGK,Okt.21,Logopäde,2074,1724,3798,
2021-10,75.0,ÖGK,Okt.21,Ergotherapeut,2173,1126,3299,
2021-10,,ÖGK,Okt.21,Gesamt,45204,20815,66019,
2021-11,63.0,ÖGK,Nov.21,Physiotherapie,40999,20667,61666,
2021-11,66.0,ÖGK,Nov.21,Logopäde,2153,1703,3856,
2021-11,75.0,ÖGK,Nov.21,Ergotherapeut,1967,1106,3073,
2021-11,,ÖGK,Nov.21,Gesamt,45119,23476,68595,
2021-12,63.0,ÖGK,Dez.21,Physiotherapie,36862,19285,56147,
2021-12,66.0,ÖGK,Dez.21,Logopäde,1559,1792,3351,
2021-12,75.0,ÖGK,Dez.21,Ergotherapeut,1678,1199,2877,
2021-12,,ÖGK,Dez.21,Gesamt,40099,22276,62375,
2022-01,63.0,ÖGK,Jän.22,Physiotherapie,33243,16109,49352,
2022-01,66.0,ÖGK,Jän.22,Logopäde,1626,1296,2922,
2022-01,75.0,ÖGK,Jän.22,Ergotherapeut,1416,949,2365,
2022-01,,ÖGK,Jän.22,Gesamt,36285,18354,54639,
2022-02,63.0,ÖGK,Feb.22,Physiotherapie,32944,18679,51623,
2022-02,66.0,ÖGK,Feb.22,Logopäde,1588,1651,3239,
2022-02,75.0,ÖGK,Feb.22,Ergotherapeut,2017,1434,3451,
2022-02,,ÖGK,Feb.22,Gesamt,36549,21764,58313,
2022-03,63.0,ÖGK,Mär.22,Physiotherapie,44107,20918,65025,
2022-03,66.0,ÖGK,Mär.22,Logopäde,2427,1981,4408,
2022-03,75.0,ÖGK,Mär.22,Ergotherapeut,2449,1424,3873,
2022-03,,ÖGK,Mär.22,Gesamt,48983,24323,73306,
2022-04,63.0,ÖGK,Apr.22,Physiotherapie,39148,19162,58310,
2022-04,66.0,ÖGK,Apr.22,Logopäde,1619,1974,3593,
2022-04,75.0,ÖGK,Apr.22,Ergotherapeut,1998,1264,3262,
2022-04,,ÖGK,Apr.22,Gesamt,42765,22400,65165,
2022-05,63.0,ÖGK,Mai.22,Physiotherapie,40133,27205,67338,
2022-05,66.0,ÖGK,Mai.22,Logopäde,1968,2162,4130,
2022-05,75.0,ÖGK,Mai.22,Ergotherapeut,2080,1435,3515,
2022-05,,ÖGK,Mai.22,Gesamt,44181,30802,74983,
2022-06,63.0,ÖGK,Jun.22,Physiotherapie,34094,17030,51124,
2022-06,66.0,ÖGK,Jun.22,Logopäde,2119,1711,3830,
2022-06,75.0,ÖGK,Jun.22,Ergotherapeut,1927,1181,3108,
2022-06,,ÖGK,Jun.22,Gesamt,38140,19922,58062,
2022-07,63.0,ÖGK,Jul.22,Physiotherapie,40184,19181,59365,
2022-07,66.0,ÖGK,Jul.22,Logopäde,2330,1686,4016,
2022-07,75.0,ÖGK,Jul.22,Ergotherapeut,1910,1414,3324,
2022-07,,ÖGK,Jul.22,Gesamt,44424,22281,66705,
2022-08,63.0,ÖGK,Aug.22,Physiotherapie,35643,18572,54215,
2022-08,66.0,ÖGK,Aug.22,Logopäde,1887,1665,3552,
2022-08,75.0,ÖGK,Aug.22,Ergotherapeut,1907,1308,3215,
2022-08,,ÖGK,Aug.22,Gesamt,39437,21545,60982,
2022-09,63.0,ÖGK,Sep.22,Physiotherapie,41006,20290,61296,
2022-09,66.0,ÖGK,Sep.22,Logopäde,2064,1998,4062,
2022-09,75.0,ÖGK,Sep.22,Ergotherapeut,2080,1375,3455,
2022-09,,ÖGK,Sep.22,Gesamt,45150,23663,68813,
2022-10,63.0,ÖGK,Okt.22,Physiotherapie,38166,19526,57692,
2022-10,66.0,ÖGK,Okt.22,Logopäde,1792,1901,3693,
2022-10,75.0,ÖGK,Okt.22,Ergotherapeut,1908,1295,3203,
2022-10,,ÖGK,Okt.22,Gesamt,41866,22722,64588,
2022-11,63.0,ÖGK,Nov.22,Physiotherapie,37534,21149,58683,
2022-11,66.0,ÖGK,Nov.22,Logopäde,2055,2133,4188,
2022-11,75.0,ÖGK,Nov.22,Ergotherapeut,2081,1451,3532,
2022-11,,ÖGK,Nov.22,Gesamt,41670,24733,66403,
2022-12,63.0,ÖGK,Dez.22,Physiotherapie,35209,19105,54314,
2022-12,66.0,ÖGK,Dez.22,Logopäde,1758,1679,3437,
2022-12,75.0,ÖGK,Dez.22,Ergotherapeut,1667,1240,2907,
2022-12,,ÖGK,Dez.22,Gesamt,38634,22024,60658,
2023-01,63.0,ÖGK,Jän.23,Physiotherapie,34857,22982,57839,
2023-01,66.0,ÖGK,Jän.23,Logopäde,2001,2069,4070,
2023-01,75.0,ÖGK,Jän.23,Ergotherapeut,2099,1655,3754,
2023-01,,ÖGK,Jän.23,Gesamt,38957,26706,65663,
2023-02,63.0,ÖGK,Feb.23,Physiotherapie,35592,21401,56993,
2023-02,66.0,ÖGK,Feb.23,Logopäde,2119,1882,4001,
2023-02,75.0,ÖGK,Feb.23,Ergotherapeut,2145,1496,3641,
2023-02,,ÖGK,Feb.23,Gesamt,39856,24779,64635,
2023-03,63.0,ÖGK,Mär.23,Physiotherapie,57138,27219,84357,
2023-03,66.0,ÖGK,Mär.23,Logopäde,3019,2712,5731,
2023-03,75.0,ÖGK,Mär.23,Ergotherapeut,2807,2005,4812,
2023-03,,ÖGK,Mär.23,Gesamt,62964,31936,94900,
2023-04,63.0,ÖGK,Apr.23,Physiotherapie,35193,21802,56995,
2023-04,66.0,ÖGK,Apr.23,Logopäde,2028,2119,4147,
2023-04,75.0,ÖGK,Apr.23,Ergotherapeut,1858,1534,3392,
2023-04,,ÖGK,Apr.23,Gesamt,39079,25455,64534,
2023-05,63.0,ÖGK,Mai.23,Physiotherapie,34854,21820,56674,
2023-05,66.0,ÖGK,Mai.23,Logopäde,2122,1903,4025,
2023-05,75.0,ÖGK,Mai.23,Ergotherapeut,2011,1602,3613,
2023-05,,ÖGK,Mai.23,Gesamt,38987,25325,64312,
2023-06,63.0,ÖGK,Jun.23,Physiotherapie,63565,21764,85329,
2023-06,66.0,ÖGK,Jun.23,Logopäde,4026,2151,6177,
2023-06,75.0,ÖGK,Jun.23,Ergotherapeut,2406,1716,4122,
2023-06,,ÖGK,Jun.23,Gesamt,69997,25631,95628,
2023-07,63.0,ÖGK,Jul.23,Physiotherapie,35780,21045,56825,
2023-07,66.0,ÖGK,Jul.23,Logopäde,1949,1955,3904,
2023-07,75.0,ÖGK,Jul.23,Ergotherapeut,1821,1765,3586,
2023-07,,ÖGK,Jul.23,Gesamt,39550,24765,64315,
2023-08,63.0,ÖGK,Aug.23,Physiotherapie,37349,20558,57907,
2023-08,66.0,ÖGK,Aug.23,Logopäde,2265,2175,4440,
2023-08,75.0,ÖGK,Aug.23,Ergotherapeut,1904,1782,3686,
2023-08,,ÖGK,Aug.23,Gesamt,41518,24515,66033,
2023-09,63.0,ÖGK,Sep.23,Physiotherapie,35702,29476,65178,
2023-09,66.0,ÖGK,Sep.23,Logopäde,2204,2110,4314,
2023-09,75.0,ÖGK,Sep.23,Ergotherapeut,2230,1937,4167,
2023-09,,ÖGK,Sep.23,Gesamt,40136,33523,73659,
2023-10,63.0,ÖGK,Okt.23,Physiotherapie,37276,21653,58929,
2023-10,66.0,ÖGK,Okt.23,Logopäde,2019,2007,4026,
2023-10,75.0,ÖGK,Okt.23,Ergotherapeut,2523,1652,4175,
2023-10,,ÖGK,Okt.23,Gesamt,41818,25312,67130,
2023-11,63.0,ÖGK,Nov.23,Physiotherapie,39705,22835,62540,
2023-11,66.0,ÖGK,Nov.23,Logopäde,2075,4356,6431,
2023-11,75.0,ÖGK,Nov.23,Ergotherapeut,2246,1694,3940,
2023-11,,ÖGK,Nov.23,Gesamt,44026,28885,72911,
2023-12,63.0,ÖGK,Dez.23,Physiotherapie,34137,17639,51776,
2023-12,66.0,ÖGK,Dez.23,Logopäde,1801,1509,3310,
2023-12,75.0,ÖGK,Dez.23,Ergotherapeut,1776,1149,2925,
2023-12,,ÖGK,Dez.23,Gesamt,37714,20297,58011,
2021-01,63.0,ÖGK-B,Jän.21,Physiotherapie,854,223,1077,Burgenland
2021-01,66.0,ÖGK-B,Jän.21,Logopäde,39,7,46,Burgenland
2021-01,75.0,ÖGK-B,Jän.21,Ergotherapeut,27,9,36,Burgenland
2021-01,,ÖGK-B,Jän.21,Gesamt,920,239,1159,Burgenland
2021-02,63.0,ÖGK-B,Feb.21,Physiotherapie,1276,107,1383,Burgenland
2021-02,66.0,ÖGK-B,Feb.21,Logopäde,62,11,73,Burgenland
2021-02,75.0,ÖGK-B,Feb.21,Ergotherapeut,42,8,50,Burgenland
2021-02,,ÖGK-B,Feb.21,Gesamt,1380,126,1506,Burgenland
2021-03,63.0,ÖGK-B,Mär.21,Physiotherapie,1552,183,1735,Burgenland
2021-03,66.0,ÖGK-B,Mär.21,Logopäde,79,10,89,Burgenland
2021-03,75.0,ÖGK-B,Mär.21,Ergotherapeut,71,12,83,Burgenland
2021-03,,ÖGK-B,Mär.21,Gesamt,1702,205,1907,Burgenland
2021-04,63.0,ÖGK-B,Apr.21,Physiotherapie,1190,194,1384,Burgenland
2021-04,66.0,ÖGK-B,Apr.21,Logopäde,59,10,69,Burgenland
