Date,LST,Monat.Jahr,Postal,OnlineMeine,OnlineWAH,Bundesland_pretty
2023-01,ÖGK-B,Jän.23,,,,Burgenland
2023-02,ÖGK-B,Feb.23,,,,Burgenland
2023-03,ÖGK-B,Mär.23,,,,Burgenland
2023-04,ÖGK-B,Apr.23,,,,Burgenland
2023-05,ÖGK-B,Mai.23,97.0,77.0,77.0,Burgenland
2023-06,ÖGK-B,Jun.23,67.0,29.0,27.0,Burgenland
2023-07,ÖGK-B,Jul.23,85.0,43.0,24.0,Burgenland
2023-08,ÖGK-B,Aug.23,77.0,34.0,27.0,Burgenland
2023-09,ÖGK-B,Sep.23,28.0,38.0,24.0,Burgenland
2023-10,ÖGK-B,Okt.23,28.0,2.0,14.0,Burgenland
2023-11,ÖGK-B,Nov.23,20.0,20.0,20.0,Burgenland
2023-12,ÖGK-B,Dez.23,20.0,20.0,22.0,Burgenland
2023-01,ÖGK-K,Jän.23,,,,Kärnten
2023-02,ÖGK-K,Feb.23,,,,Kärnten
2023-03,ÖGK-K,Mär.23,,,,Kärnten
2023-04,ÖGK-K,Apr.23,,,,Kärnten
2023-05,ÖGK-K,Mai.23,92.0,97.0,42.0,Kärnten
2023-06,ÖGK-K,Jun.23,84.0,83.0,27.0,Kärnten
2023-07,ÖGK-K,Jul.23,63.0,78.0,35.0,Kärnten
2023-08,ÖGK-K,Aug.23,58.0,68.0,34.0,Kärnten
2023-09,ÖGK-K,Sep.23,60.0,63.0,18.0,Kärnten
2023-10,ÖGK-K,Okt.23,47.0,46.0,13.0,Kärnten
2023-11,ÖGK-K,Nov.23,20.0,20.0,13.0,Kärnten
2023-12,ÖGK-K,Dez.23,12.0,12.0,13.0,Kärnten
2023-01,ÖGK-N,Jän.23,,,,Niederösterreich
2023-02,ÖGK-N,Feb.23,,,,Niederösterreich
2023-03,ÖGK-N,Mär.23,,,,Niederösterreich
2023-04,ÖGK-N,Apr.23,,,,Niederösterreich
2023-05,ÖGK-N,Mai.23,27.0,22.0,0.0,Niederösterreich
2023-06,ÖGK-N,Jun.23,20.0,14.0,0.0,Niederösterreich
2023-07,ÖGK-N,Jul.23,33.0,17.0,0.0,Niederösterreich
2023-08,ÖGK-N,Aug.23,57.0,29.0,0.0,Niederösterreich
2023-09,ÖGK-N,Sep.23,75.0,28.0,0.0,Niederösterreich
2023-10,ÖGK-N,Okt.23,103.0,58.0,0.0,Niederösterreich
2023-11,ÖGK-N,Nov.23,117.0,88.0,0.0,Niederösterreich
2023-12,ÖGK-N,Dez.23,110.0,110.0,0.0,Niederösterreich
2023-01,ÖGK-O,Jän.23,,,,Oberösterreich
2023-02,ÖGK-O,Feb.23,,,,Oberösterreich
2023-03,ÖGK-O,Mär.23,,,,Oberösterreich
2023-04,ÖGK-O,Apr.23,,,,Oberösterreich
2023-05,ÖGK-O,Mai.23,37.0,0.0,0.0,Oberösterreich
2023-06,ÖGK-O,Jun.23,32.0,5.0,0.0,Oberösterreich
2023-07,ÖGK-O,Jul.23,38.0,6.0,6.0,Oberösterreich
