Date,Bundesland,Refundierung
2021-01,Burgenland,8359.39
2021-01,Kärnten,28000.1
2021-01,Niederösterreich,27861.18
2021-01,Oberösterreich,55302.01
2021-01,Salzburg,41216.92
2021-01,Steiermark,287240.47
2021-01,Tirol,55461.1
2021-01,Vorarlberg,67391.37
2021-01,Wien,28922.48
2021-02,Burgenland,1384.07
2021-02,Kärnten,34552.26
2021-02,Niederösterreich,31479.57
2021-02,Oberösterreich,67435.89
2021-02,Salzburg,36459.96
2021-02,Steiermark,266124.83
2021-02,Tirol,86347.32
2021-02,Vorarlberg,45796.62
2021-02,Wien,64570.98
2021-03,Burgenland,13131.91
2021-03,Kärnten,59971.89
2021-03,Niederösterreich,32536.2
2021-03,Oberösterreich,82373.04
2021-03,Salzburg,52575.02
2021-03,Steiermark,321047.94
2021-03,Tirol,100298.63
2021-03,Vorarlberg,82943.68
2021-03,Wien,55802.12
2021-04,Burgenland,12315.99
2021-04,Kärnten,18668.79
2021-04,Niederösterreich,36526.81
2021-04,Oberösterreich,53924.89
2021-04,Salzburg,74298.82
2021-04,Steiermark,315072.81
2021-04,Tirol,88507.32
2021-04,Vorarlberg,59588.07
2021-04,Wien,37031.65
2021-05,Burgenland,16567.53
2021-05,Kärnten,33867.14
2021-05,Niederösterreich,30175.31
2021-05,Oberösterreich,46724.68
2021-05,Salzburg,24173.49
2021-05,Steiermark,233202.19
2021-05,Tirol,113442.01
2021-05,Vorarlberg,63787.13
2021-05,Wien,40320.9
2021-06,Burgenland,9560.77
2021-06,Kärnten,36139.63
2021-06,Niederösterreich,35452.67
2021-06,Oberösterreich,57361.94
2021-06,Salzburg,68526.5
2021-06,Steiermark,195512.6
2021-06,Tirol,97470.17
2021-06,Vorarlberg,77160.78
2021-06,Wien,54076.24
2021-07,Burgenland,6279.72
2021-07,Kärnten,54824.22
2021-07,Niederösterreich,27743.54
2021-07,Oberösterreich,91776.97
2021-07,Salzburg,39038.89
2021-07,Steiermark,297271.45
2021-07,Tirol,85452.44
2021-07,Vorarlberg,69674.09
2021-07,Wien,36360.31
2021-08,Burgenland,5937.41
2021-08,Kärnten,28151.45
2021-08,Niederösterreich,40970.49
2021-08,Oberösterreich,36536.47
2021-08,Salzburg,37976.77
2021-08,Steiermark,232829.61
2021-08,Tirol,102346.03
2021-08,Vorarlberg,77704.97
2021-08,Wien,29961.39
2021-09,Burgenland,26829.09
2021-09,Kärnten,28561.24
2021-09,Niederösterreich,37500.84
2021-09,Oberösterreich,62413.93
2021-09,Salzburg,40569.78
