Date,Bundesland,Refundierung
2021-01,Burgenland,29.0
2021-01,Kärnten,124.0
2021-01,Niederösterreich,200.0
2021-01,Oberösterreich,309.0
2021-01,Salzburg,106.0
2021-01,Steiermark,713.0
2021-01,Tirol,262.0
2021-01,Vorarlberg,883.0
2021-01,Wien,120.0
2021-02,Burgenland,9.0
2021-02,Kärnten,188.0
2021-02,Niederösterreich,192.0
2021-02,Oberösterreich,340.0
2021-02,Salzburg,150.0
2021-02,Steiermark,722.0
2021-02,Tirol,403.0
2021-02,Vorarlberg,542.0
2021-02,Wien,212.0
2021-03,Burgenland,37.0
2021-03,Kärnten,250.0
2021-03,Niederösterreich,265.0
2021-03,Oberösterreich,421.0
2021-03,Salzburg,181.0
2021-03,Steiermark,909.0
2021-03,Tirol,423.0
2021-03,Vorarlberg,992.0
2021-03,Wien,301.0
2021-04,Burgenland,26.0
2021-04,Kärnten,117.0
2021-04,Niederösterreich,239.0
2021-04,Oberösterreich,350.0
2021-04,Salzburg,246.0
2021-04,Steiermark,698.0
2021-04,Tirol,396.0
2021-04,Vorarlberg,773.0
2021-04,Wien,202.0
2021-05,Burgenland,33.0
2021-05,Kärnten,168.0
2021-05,Niederösterreich,196.0
2021-05,Oberösterreich,313.0
2021-05,Salzburg,90.0
2021-05,Steiermark,442.0
2021-05,Tirol,309.0
2021-05,Vorarlberg,707.0
2021-05,Wien,168.0
2021-06,Burgenland,18.0
2021-06,Kärnten,182.0
2021-06,Niederösterreich,213.0
2021-06,Oberösterreich,363.0
2021-06,Salzburg,221.0
2021-06,Steiermark,465.0
2021-06,Tirol,383.0
2021-06,Vorarlberg,866.0
2021-06,Wien,188.0
2021-07,Burgenland,20.0
2021-07,Kärnten,163.0
2021-07,Niederösterreich,193.0
2021-07,Oberösterreich,489.0
2021-07,Salzburg,102.0
2021-07,Steiermark,631.0
2021-07,Tirol,309.0
2021-07,Vorarlberg,803.0
2021-07,Wien,171.0
2021-08,Burgenland,13.0
2021-08,Kärnten,125.0
2021-08,Niederösterreich,166.0
2021-08,Oberösterreich,232.0
2021-08,Salzburg,123.0
2021-08,Steiermark,551.0
2021-08,Tirol,341.0
2021-08,Vorarlberg,1036.0
2021-08,Wien,92.0
2021-09,Burgenland,57.0
2021-09,Kärnten,168.0
2021-09,Niederösterreich,223.0
2021-09,Oberösterreich,430.0
2021-09,Salzburg,107.0
2021-09,Steiermark,606.0
2021-09,Tirol,358.0
2021-09,Vorarlberg,564.0
2021-09,Wien,169.0
2021-10,Burgenland,23.0
2021-10,Kärnten,136.0
2021-10,Niederösterreich,182.0
2021-10,Oberösterreich,371.0
2021-10,Salzburg,155.0
2021-10,Steiermark,464.0
2021-10,Tirol,348.0
2021-10,Vorarlberg,606.0
2021-10,Wien,200.0
2021-11,Burgenland,28.0
2021-11,Kärnten,193.0
2021-11,Niederösterreich,236.0
2021-11,Oberösterreich,348.0
2021-11,Salzburg,106.0
2021-11,Steiermark,1019.0
2021-11,Tirol,370.0
2021-11,Vorarlberg,390.0
2021-11,Wien,196.0
2021-12,Burgenland,24.0
2021-12,Kärnten,116.0
2021-12,Niederösterreich,179.0
2021-12,Oberösterreich,389.0
2021-12,Salzburg,197.0
2021-12,Steiermark,609.0
2021-12,Tirol,362.0
2021-12,Vorarlberg,678.0
2021-12,Wien,142.0
2022-01,Burgenland,27.0
2022-01,Kärnten,135.0
2022-01,Niederösterreich,165.0
2022-01,Oberösterreich,348.0
2022-01,Salzburg,107.0
2022-01,Steiermark,480.0
2022-01,Tirol,318.0
2022-01,Vorarlberg,796.0
2022-01,Wien,228.0
2022-02,Burgenland,18.0
2022-02,Kärnten,107.0
2022-02,Niederösterreich,206.0
2022-02,Oberösterreich,402.0
2022-02,Salzburg,143.0
2022-02,Steiermark,1236.0
2022-02,Tirol,365.0
2022-02,Vorarlberg,565.0
2022-02,Wien,169.0
2022-03,Burgenland,28.0
2022-03,Kärnten,200.0
2022-03,Niederösterreich,251.0
2022-03,Oberösterreich,508.0
2022-03,Salzburg,148.0
2022-03,Steiermark,764.0
2022-03,Tirol,398.0
2022-03,Vorarlberg,808.0
2022-03,Wien,169.0
2022-04,Burgenland,31.0
2022-04,Kärnten,154.0
2022-04,Niederösterreich,216.0
2022-04,Oberösterreich,473.0
2022-04,Salzburg,111.0
2022-04,Steiermark,694.0
2022-04,Tirol,378.0
2022-04,Vorarlberg,615.0
2022-04,Wien,177.0
2022-05,Burgenland,38.0
2022-05,Kärnten,186.0
2022-05,Niederösterreich,195.0
2022-05,Oberösterreich,508.0
2022-05,Salzburg,135.0
2022-05,Steiermark,678.0
2022-05,Tirol,383.0
2022-05,Vorarlberg,753.0
2022-05,Wien,315.0
2022-06,Burgenland,5.0
2022-06,Kärnten,130.0
2022-06,Niederösterreich,211.0
2022-06,Oberösterreich,422.0
2022-06,Salzburg,121.0
2022-06,Steiermark,495.0
2022-06,Tirol,360.0
2022-06,Vorarlberg,452.0
2022-06,Wien,148.0
2022-07,Burgenland,39.0
2022-07,Kärnten,160.0
2022-07,Niederösterreich,170.0
2022-07,Oberösterreich,419.0
2022-07,Salzburg,101.0
2022-07,Steiermark,674.0
2022-07,Tirol,330.0
2022-07,Vorarlberg,837.0
2022-07,Wien,190.0
2022-08,Burgenland,20.0
2022-08,Kärnten,155.0
2022-08,Niederösterreich,155.0
2022-08,Oberösterreich,371.0
2022-08,Salzburg,163.0
2022-08,Steiermark,476.0
2022-08,Tirol,386.0
2022-08,Vorarlberg,866.0
2022-08,Wien,190.0
2022-09,Burgenland,28.0
2022-09,Kärnten,150.0
2022-09,Niederösterreich,222.0
2022-09,Oberösterreich,401.0
2022-09,Salzburg,113.0
2022-09,Steiermark,613.0
2022-09,Tirol,336.0
2022-09,Vorarlberg,595.0
2022-09,Wien,185.0
2022-10,Burgenland,60.0
2022-10,Kärnten,81.0
2022-10,Niederösterreich,224.0
2022-10,Oberösterreich,410.0
2022-10,Salzburg,117.0
2022-10,Steiermark,869.0
2022-10,Tirol,362.0
2022-10,Vorarlberg,556.0
2022-10,Wien,191.0
2022-11,Burgenland,22.0
2022-11,Kärnten,135.0
2022-11,Niederösterreich,244.0
2022-11,Oberösterreich,499.0
2022-11,Salzburg,105.0
2022-11,Steiermark,904.0
2022-11,Tirol,397.0
2022-11,Vorarlberg,727.0
2022-11,Wien,179.0
2022-12,Burgenland,18.0
2022-12,Kärnten,163.0
2022-12,Niederösterreich,188.0
2022-12,Oberösterreich,399.0
2022-12,Salzburg,123.0
2022-12,Steiermark,326.0
2022-12,Tirol,373.0
2022-12,Vorarlberg,567.0
2022-12,Wien,176.0
2023-01,Burgenland,45.0
2023-01,Kärnten,172.0
2023-01,Niederösterreich,201.0
2023-01,Oberösterreich,487.0
2023-01,Salzburg,60.0
2023-01,Steiermark,663.0
2023-01,Tirol,331.0
2023-01,Vorarlberg,835.0
2023-01,Wien,164.0
2023-02,Burgenland,12.0
2023-02,Kärnten,96.0
2023-02,Niederösterreich,202.0
2023-02,Oberösterreich,368.0
2023-02,Salzburg,211.0
2023-02,Steiermark,690.0
2023-02,Tirol,253.0
2023-02,Vorarlberg,634.0
2023-02,Wien,166.0
2023-03,Burgenland,15.0
2023-03,Kärnten,159.0
2023-03,Niederösterreich,181.0
2023-03,Oberösterreich,449.0
2023-03,Salzburg,122.0
2023-03,Steiermark,630.0
2023-03,Tirol,434.0
2023-03,Vorarlberg,676.0
