Year,Bundesland,Rechnungsbeträge,Refundierungen
2020,Wien,14788694,6808585
2021,Wien,17723886,8022733
2022,Wien,19333208,8805566
2023,Wien,23728143,10455564
2024Q1-Q3,Wien,21202121,9176891
2020,NÖ,23034659,11905948
2021,NÖ,27066383,14243074
2022,NÖ,30519155,15818043
2023,NÖ,36657023,18649318
2024Q1-Q3,NÖ,33385166,16934950
2020,Bgld,3498267,1951043
2021,Bgld,4099503,2312923
2022,Bgld,4719386,2582719
2023,Bgld,5762905,3104756
2024Q1-Q3,Bgld,5316643,2915221
2020,OÖ,3785654,2825980
2021,OÖ,5912724,4180609
2022,OÖ,5732908,4341798
2023,OÖ,6463593,4896291
2024Q1-Q3,OÖ,5387662,4163350
2020,Stmk,15099729,8410265
2021,Stmk,17513875,10087799
2022,Stmk,18596878,10782923
2023,Stmk,19870285,11947321
2024Q1-Q3,Stmk,18948015,11480386
2020,Ktn,6453923,4282417
2021,Ktn,8121057,5554909
2022,Ktn,8793874,5977996
2023,Ktn,9682393,6823922
2024Q1-Q3,Ktn,7821605,5623396
2020,Sbg,4856989,2919514
2021,Sbg,6431929,3705555
2022,Sbg,6794689,3995125
2023,Sbg,7139117,4401652
2024Q1-Q3,Sbg,6306257,3811638
2020,Tirol,9712285,4690286
2021,Tirol,13245033,6533397
2022,Tirol,14922989,6997321
2023,Tirol,16322077,7739808
2024Q1-Q3,Tirol,15197551,7200567
2020,Vbg,3348371,1674136
2021,Vbg,4180880,2047739
2022,Vbg,4207310,2017897
2023,Vbg,4945378,2378413
2024Q1-Q3,Vbg,4283924,2030430
2020,Gesamt,84578571,45468175
2021,Gesamt,104295270,56688739
2022,Gesamt,113620397,61319388
2023,Gesamt,130570914,70397045
2024Q1-Q3,Gesamt,117848943,63336831
