Year,LST,Refundierungen,Rechnungsbeträge
2023,ÖGK-W,44992965.36,134065655.76
2023,ÖGK-N,31938943.74,89851098.22
2023,ÖGK-B,4715404.08,14315993.59
2023,ÖGK-O,29930360.88,77534663.23
2023,ÖGK-ST,25873975.82,70452229.91
2023,ÖGK-K,13275161.86,33248460.11
2023,ÖGK-S,14181165.4,35399464.56
2023,ÖGK-T,24978998.33,73278714.99
2023,ÖGK-V,8405751.09,25446840.66
2023,Gesamt,198292726.56,553593121.03
2022,ÖGK-W,40407969.11,117192716.58
2022,ÖGK-N,29607156.37,84118990.07
2022,ÖGK-B,4644288.88,13409172.27
2022,ÖGK-O,32088747.15,80270687.68
2022,ÖGK-ST,22893381.15,63836074.26
2022,ÖGK-K,9728819.76,24953110.25
2022,ÖGK-S,9264834.08,25563324.59
2022,ÖGK-T,19798835.83,56314632.68
2022,ÖGK-V,7984779.15,23361029.88
2022,Gesamt,176418811.48,489019738.26
2021,ÖGK-B,3251189.93,9090169.53
2021,ÖGK-K,9814441.19,24949919.90
2021,ÖGK-N,27998657.46,80126625.11
2021,ÖGK-O,23043450.38,56555588.56
2021,ÖGK-S,8884618.89,24481374.77
2021,ÖGK-ST,17491356.74,50682390.79
2021,ÖGK-T,19281137.05,53348293.95
2021,ÖGK-V,8183040.05,24598812.70
2021,ÖGK-W,45711987.72,125389622.56
2021,Gesamt,163659879.41,449222797.87
2020,ÖGK-W,29984838.34,83391548.23
2020,ÖGK-N,20838729.52,58258828.93
2020,ÖGK-B,3121761.07,9113845.95
2020,ÖGK-O,22452630.70,54600778.80
2020,ÖGK-ST,21252369.17,59301889.36
2020,ÖGK-K,10968230.81,26847381.45
2020,ÖGK-S,9760034.00,24198693.18
2020,ÖGK-T,19539612.66,53060000.20
2020,ÖGK-V,,22963927.60
2020,Gesamt,145525709.76,368772966.10
2019,ÖGK-W,29747206.67,88884532.24
2019,ÖGK-N,24334847.44,68856872.75
2019,ÖGK-B,3463544.79,9772202.56
2019,ÖGK-O,27486322.00,68167917.00
2019,ÖGK-ST,17251380.50,49020495.46
2019,ÖGK-K,10107350.54,26016252.51
2019,ÖGK-S,13571812.41,34426442.08
2019,ÖGK-T,20444950.32,57494135.92
2019,ÖGK-V,7756922.43,22963927.60
2019,Gesamt,154164337.10,425602775.12
