Year,LST,Rechnungsbeträge,Refundierungen
2024Q1-Q3,Gesamt,524416704.25,187838676.72
2024Q1-Q3,ÖGK-B,13466548.77,4480235.75
2024Q1-Q3,ÖGK-K,27786822.22,11338990.49
2024Q1-Q3,ÖGK-N,88349688.09,31879502.79
2024Q1-Q3,ÖGK-O,69248301.83,26735443.64
2024Q1-Q3,ÖGK-S,30059149.04,11752225.9
2024Q1-Q3,ÖGK-ST,70132459.33,25913701.31
2024Q1-Q3,ÖGK-T,63310340.58,21970178.61
2024Q1-Q3,ÖGK-V,25184423.94,8597346.01
2024Q1-Q3,ÖGK-W,136878970.45,45171052.22
2023,Gesamt,551445408.28,197125480.27
2023,ÖGK-B,14251418.19,4675503.55
2023,ÖGK-K,33197320.11,13228716.26
2023,ÖGK-N,89538019.7,31751769.26
2023,ÖGK-O,77163433.79,29784946.15
2023,ÖGK-S,35354179.93,14158317.69
2023,ÖGK-ST,69520064.82,25343056.72
2023,ÖGK-T,73270045.52,24971451.15
2023,ÖGK-V,25401113.53,8403562.37
2023,ÖGK-W,133749812.69,44808157.12
2022,Gesamt,495256801.85,179277550.02
2022,ÖGK-B,13497131.19,4662760.62
2022,ÖGK-K,25196031.39,10106973.77
2022,ÖGK-N,85280545.02,29851102.78
2022,ÖGK-O,82206503.79,32667102.53
2022,ÖGK-S,28074971.31,11023844.58
2022,ÖGK-ST,62930081.86,22494358.23
2022,ÖGK-T,57955077.21,20332788.85
2022,ÖGK-V,23095548.28,7934084.08
2022,ÖGK-W,117020911.8,40204534.58
2021,Gesamt,448368505.9,164682109.24
2021,ÖGK-B,9006038.16,3196902.9
2021,ÖGK-K,24386764.3,9825521.64
2021,ÖGK-N,79387975.89,27944018.0
2021,ÖGK-O,56226145.37,22875426.98
2021,ÖGK-S,26498606.04,10435956.3
2021,ÖGK-ST,49442552.88,16929861.37
2021,ÖGK-T,55428716.63,20102560.37
2021,ÖGK-V,23811335.89,8000403.29
2021,ÖGK-W,124180370.74,45371458.39
2020,Gesamt,369038199.12,136262195.11
2020,ÖGK-B,8488684.14,2833360.27
2020,ÖGK-K,24123210.68,9657045.5
2020,ÖGK-N,55849300.26,20108312.07
2020,ÖGK-O,51388915.1,21104148.55
2020,ÖGK-S,22139468.62,8596986.97
2020,ÖGK-ST,54165536.32,19089388.87
2020,ÖGK-T,51645112.22,19048325.03
2020,ÖGK-V,20482882.92,6990746.87
2020,ÖGK-W,80755088.86,28833880.98
