 Beträge der eingereichten Honorarnoten 					
 LST 	2020	2021	2022	2023	Jän.- Sep. 2024
B	 € 8 488 684,14 	 € 9 006 038,16 	 € 13 497 131,19 	 € 14 251 418,19 	 € 13 466 548,77 
K	 € 24 123 210,68 	 € 24 386 764,30 	 € 25 196 031,39 	 € 33 197 320,11 	 € 27 786 822,22 
NÖ	 € 55 849 300,26 	 € 79 387 975,89 	 € 85 280 545,02 	 € 89 538 019,70 	 € 88 349 688,09 
OÖ	 € 51 388 915,10 	 € 56 226 145,37 	 € 82 206 503,79 	 € 77 163 433,79 	 € 69 248 301,83 
S	 € 22 139 468,62 	 € 26 498 606,04 	 € 28 074 971,31 	 € 35 354 179,93 	 € 30 059 149,04 
ST	 € 54 165 536,32 	 € 49 442 552,88 	 € 62 930 081,86 	 € 69 520 064,82 	 € 70 132 459,33 
T	 € 51 645 112,22 	 € 55 428 716,63 	 € 57 955 077,21 	 € 73 270 045,52 	 € 63 310 340,58 
V	 € 20 482 882,92 	 € 23 811 335,89 	 € 23 095 548,28 	 € 25 401 113,53 	 € 25 184 423,94 
W	 € 80 755 088,86 	 € 124 180 370,74 	 € 117 020 911,80 	 € 133 749 812,69 	 € 136 878 970,45 
Gesamt	 € 369 038 199,12 	 € 448 368 505,90 	 € 495 256 801,85 	 € 551 445 408,28 	 € 524 416 704,25 

 Beträge der geleisteten Kostenerstattung 					
 LST 	2020	2021	2022	2023	Jän.- Sep. 2024
B	 € 2 833 360,27 	 € 3 196 902,90 	 € 4 662 760,62 	 € 4 675 503,55 	 € 4 480 235,75 
K	 € 9 657 045,50 	 € 9 825 521,64 	 € 10 106 973,77 	 € 13 228 716,26 	 € 11 338 990,49 
NÖ	 € 20 108 312,07 	 € 27 944 018,00 	 € 29 851 102,78 	 € 31 751 769,26 	 € 31 879 502,79 
OÖ	 € 21 104 148,55 	 € 22 875 426,98 	 € 32 667 102,53 	 € 29 784 946,15 	 € 26 735 443,64 
S	 € 8 596 986,97 	 € 10 435 956,30 	 € 11 023 844,58 	 € 14 158 317,69 	 € 11 752 225,90 
ST	 € 19 089 388,87 	 € 16 929 861,37 	 € 22 494 358,23 	 € 25 343 056,72 	 € 25 913 701,31 
T	 € 19 048 325,03 	 € 20 102 560,37 	 € 20 332 788,85 	 € 24 971 451,15 	 € 21 970 178,61 
V	 € 6 990 746,87 	 € 8 000 403,29 	 € 7 934 084,08 	 € 8 403 562,37 	 € 8 597 346,01 
W	 € 28 833 880,98 	 € 45 371 458,39 	 € 40 204 534,58 	 € 44 808 157,12 	 € 45 171 052,22 
Gesamt	 € 136 262 195,11 	 € 164 682 109,24 	 € 179 277 550,02 	 € 197 125 480,27 	 € 187 838 676,72 
