"ÖGK-LS","Monat.Jahr","Postal","OnlineMeine"
"ÖGK-B","Jän.22","100","100"
"ÖGK-B","Feb.22","109","109"
"ÖGK-B","Mär.22","111","114"
"ÖGK-B","Apr.22","108","108"
"ÖGK-B","Mai.22","73","77"
"ÖGK-B","Jun.22","42","63"
"ÖGK-B","Jul.22","24","35"
"ÖGK-B","Aug.22","19","27"
"ÖGK-B","Sep.22","14","25"
"ÖGK-B","Okt.22","15","18"
"ÖGK-B","Nov.22","21","22"
"ÖGK-B","Dez.22","48","45"
"ÖGK-B","Durchschnitt 22","57","62"
"ÖGK-B","Jän.21","63","10"
"ÖGK-B","Feb.21","63","15"
"ÖGK-B","Mär.21","48","42"
"ÖGK-B","Apr.21","44","46"
"ÖGK-B","Mai.21","49","49"
"ÖGK-B","Jun.21","55","54"
"ÖGK-B","Jul.21","74","74"
"ÖGK-B","Aug.21","76","76"
"ÖGK-B","Sep.21","74","74"
"ÖGK-B","Okt.21","75","75"
"ÖGK-B","Nov.21","75","74"
"ÖGK-B","Dez.21","94","91"
"ÖGK-B","Durchschnitt 21","66","57"
"ÖGK-B","Jän.23","29","39"
"ÖGK-B","Feb.23","48","56"
"ÖGK-B","Mär.23","45","41"
"ÖGK-B","Apr.23","78","70"
"ÖGK-B","Mai.23","95","95"
"ÖGK-B","Durchschnitt 23","59","60"
"ÖGK-K","Jän.22","35","5"
"ÖGK-K","Feb.22","35","5"
"ÖGK-K","Mär.22","35","5"
"ÖGK-K","Apr.22","35","5"
"ÖGK-K","Mai.22","76","8"
"ÖGK-K","Jun.22","85","7"
"ÖGK-K","Jul.22","85","4"
"ÖGK-K","Aug.22","92","11"
"ÖGK-K","Sep.22","103","10"
"ÖGK-K","Okt.22","101","17"
"ÖGK-K","Nov.22","122","21"
"ÖGK-K","Dez.22","133","40"
"ÖGK-K","Durchschnitt 22","78","12"
"ÖGK-K","Jän.21","7","4"
"ÖGK-K","Feb.21","5","3"
"ÖGK-K","Mär.21","3","2"
"ÖGK-K","Apr.21","3","2"
"ÖGK-K","Mai.21","8","6"
