unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5
Gesamtzahl der Anträge auf Wahlarztkostenrefundierung,,,,
,Fachgebiet,2023,,
SVS,Allgemeinmedizin,131.668,,
SVS,Kinder- und Jugendheilkunde,51.537,,
Refundierungen von Wahlarztkostenrechnungen,,,,
,Fachgebiet,2023,,
SVS,Allgemeinmedizin,"6.021.878,95",,
SVS,Kinder- und Jugendheilkunde,"2.406.501,05",,
Gesamtsumme der zur Refundierung eingereichten Wahlarztkostenrechnungen,,,,
,Fachgebiet,2023,,
SVS,Allgemeinmedizin,"16.937.867,27",,
SVS,Kinder- und Jugendheilkunde,"5.458.667,37",,
Gesamtzahl der Anträge auf Wahlarztkostenrefundierung,,,,
Träger,Fachgebiet,2023,,
SVS,FA f. Augenheilkunde,80.808,,
SVS,FA f. Chirurgie,20.518,,
SVS,FA f. Dermatologie,80.035,,
SVS,FA f. Gynäkologie,87.008,,
SVS,FA f. Orthopädie/orthop.Chir.,77.611,,
SVS,FA f. Urologie,32.213,,
SVS,FA f. Psychiatrie,23.418,,
SVS,FA f.Kinder- und Jugendpsych.,1.676,,
Rechnungsbeträge und Refundierungen der Wahlarztkostenrechnungen,,,,
Träger,Fachgebiet,2023,,
,,Rechnungsbetrag,Refundierung,
SVS,FA f. Augenheilkunde,11.315.177,6.127.374,
SVS,FA f. Chirurgie,5.252.005,1.956.375,
SVS,FA f. Dermatologie,11.175.600,4.272.061,
SVS,FA f. Gynäkologie,10.821.124,5.718.189,
SVS,FA f. Orthopädie/orthop.Chir.,12.050.003,4.828.221,
SVS,FA f. Urologie,5.150.755,2.791.786,
SVS,FA f. Psychiatrie,4.536.851,3.346.137,
SVS,FA f.Kinder- und Jugendpsych.,328.720,275.149,
Durchschnittliche Bearbeitungszeit bei postalischen Einreichungen: ,,,,
Ø Bearbeitungszeit 2022 (abgeschlossen mit einer Anweisung): rund 16 Tage,,,,
Durchschnittliche Bearbeitungszeit bei online Einreichungen: ,,,,
"Ø Bearbeitungszeit 2022 (abgeschlossen mit einer Anweisung): rund 2,5 Tage",,,,
"Ausgaben (€) im Jahr 2021 bis 2023 im Bereich Logo-, Ergo- und Physiotherapie:",,,,
Fachgebiet,Bereich,2021,2022,2023
Logopädie,SVS,"2.570.697,70","2.722.269,72","2.934.803,03"
Ergotherapie,SVS,"2.729.491,03","3.008.004,25","3.316.147,29"
Wahl-Physiotherapeuten,SVS,"25.360.644,81","26.697.690,24","31.143.394,38"
