"ÖGK-LS","Monat.Jahr","FG-Code","Fachrichtung","postal","online","Gesamt"
"ÖGK","Jän.21","63","Physiotherapie","38168","14481","52649"
"ÖGK","Jän.21","66","Logopäde","1465","1216","2681"
"ÖGK","Jän.21","75","Ergotherapeut","1535","832","2367"
"ÖGK","Jän.21","","Gesamt","41168","16529","57697"
"ÖGK","Feb.21","63","Physiotherapie","49962","13870","63832"
"ÖGK","Feb.21","66","Logopäde","3693","1140","4833"
"ÖGK","Feb.21","75","Ergotherapeut","1959","757","2716"
"ÖGK","Feb.21","","Gesamt","55614","15767","71381"
"ÖGK","Mär.21","63","Physiotherapie","51021","14976","65997"
"ÖGK","Mär.21","66","Logopäde","2535","1276","3811"
"ÖGK","Mär.21","75","Ergotherapeut","2187","930","3117"
"ÖGK","Mär.21","","Gesamt","55743","17182","72925"
"ÖGK","Apr.21","63","Physiotherapie","50037","12635","62672"
"ÖGK","Apr.21","66","Logopäde","2392","1065","3457"
"ÖGK","Apr.21","75","Ergotherapeut","2199","761","2960"
"ÖGK","Apr.21","","Gesamt","54628","14461","69089"
"ÖGK","Mai.21","63","Physiotherapie","38537","12639","51176"
"ÖGK","Mai.21","66","Logopäde","1775","1056","2831"
"ÖGK","Mai.21","75","Ergotherapeut","1789","716","2505"
"ÖGK","Mai.21","","Gesamt","42101","14411","56512"
"ÖGK","Jun.21","63","Physiotherapie","40452","13591","54043"
"ÖGK","Jun.21","66","Logopäde","2178","1294","3472"
"ÖGK","Jun.21","75","Ergotherapeut","3425","957","4382"
"ÖGK","Jun.21","","Gesamt","46055","15842","61897"
"ÖGK","Jul.21","63","Physiotherapie","37578","15763","53341"
"ÖGK","Jul.21","66","Logopäde","1909","1439","3348"
"ÖGK","Jul.21","75","Ergotherapeut","1999","1146","3145"
"ÖGK","Jul.21","","Gesamt","41486","18348","59834"
"ÖGK","Aug.21","63","Physiotherapie","35744","15863","51607"
"ÖGK","Aug.21","66","Logopäde","1873","1646","3519"
"ÖGK","Aug.21","75","Ergotherapeut","2087","1002","3089"
"ÖGK","Aug.21","","Gesamt","39704","18511","58215"
"ÖGK","Sep.21","63","Physiotherapie","43397","16131","59528"
"ÖGK","Sep.21","66","Logopäde","3350","1505","4855"
"ÖGK","Sep.21","75","Ergotherapeut","2247","1031","3278"
"ÖGK","Sep.21","","Gesamt","48994","18667","67661"
"ÖGK","Okt.21","63","Physiotherapie","43431","18093","61524"
"ÖGK","Okt.21","66","Logopäde","2314","1755","4069"
"ÖGK","Okt.21","75","Ergotherapeut","2230","1111","3341"
"ÖGK","Okt.21","","Gesamt","47975","20959","68934"
"ÖGK","Nov.21","63","Physiotherapie","39553","20979","60532"
"ÖGK","Nov.21","66","Logopäde","2066","1701","3767"
"ÖGK","Nov.21","75","Ergotherapeut","1974","1111","3085"
"ÖGK","Nov.21","","Gesamt","43593","23791","67384"
"ÖGK","Dez.21","63","Physiotherapie","37427","19053","56480"
"ÖGK","Dez.21","66","Logopäde","1616","1776","3392"
"ÖGK","Dez.21","75","Ergotherapeut","1723","1201","2924"
"ÖGK","Dez.21","","Gesamt","40766","22030","62796"
"ÖGK","Jän.22","63","Physiotherapie","34865","16637","51502"
"ÖGK","Jän.22","66","Logopäde","1670","1363","3033"
"ÖGK","Jän.22","75","Ergotherapeut","1522","974","2496"
"ÖGK","Jän.22","","Gesamt","38057","18974","57031"
"ÖGK","Feb.22","63","Physiotherapie","34330","20187","54517"
"ÖGK","Feb.22","66","Logopäde","1755","1876","3631"
"ÖGK","Feb.22","75","Ergotherapeut","2128","1506","3634"
"ÖGK","Feb.22","","Gesamt","38213","23569","61782"
"ÖGK","Mär.22","63","Physiotherapie","45279","45279","20556"
"ÖGK","Mär.22","66","Logopäde","2508","2508","1923"
"ÖGK","Mär.22","75","Ergotherapeut","2446","2446","1382"
"ÖGK","Mär.22","","Gesamt","50233","50233","23861"
"ÖGK","Apr.22","63","Physiotherapie","39670","18472","58142"
"ÖGK","Apr.22","66","Logopäde","1671","1926","3597"
"ÖGK","Apr.22","75","Ergotherapeut","2016","1279","3295"
"ÖGK","Apr.22","","Gesamt","43357","21677","65034"
"ÖGK","Mai.22","63","Physiotherapie","40406","27254","67660"
"ÖGK","Mai.22","66","Logopäde","2064","2147","4211"
"ÖGK","Mai.22","75","Ergotherapeut","2258","1458","3716"
"ÖGK","Mai.22","","Gesamt","44728","30859","75587"
"ÖGK","Jun.22","63","Physiotherapie","35048","17000","52048"
"ÖGK","Jun.22","66","Logopäde","2233","1732","3965"
"ÖGK","Jun.22","75","Ergotherapeut","1974","1181","3155"
"ÖGK","Jun.22","","Gesamt","39255","19913","59168"
"ÖGK","Jul.22","63","Physiotherapie","40991","19159","60150"
"ÖGK","Jul.22","66","Logopäde","2367","1646","4013"
"ÖGK","Jul.22","75","Ergotherapeut","1949","1436","3385"
"ÖGK","Jul.22","","Gesamt","45307","22241","67548"
"ÖGK","Aug.22","63","Physiotherapie","36325","18602","54927"
"ÖGK","Aug.22","66","Logopäde","2028","1722","3750"
"ÖGK","Aug.22","75","Ergotherapeut","1962","1316","3278"
"ÖGK","Aug.22","","Gesamt","40315","21640","61955"
"ÖGK","Sep.22","63","Physiotherapie","41649","20462","62111"
"ÖGK","Sep.22","66","Logopäde","2137","2029","4166"
"ÖGK","Sep.22","75","Ergotherapeut","2216","1391","3607"
"ÖGK","Sep.22","","Gesamt","46002","23882","69884"
"ÖGK","Okt.22","63","Physiotherapie","38302","19844","58146"
"ÖGK","Okt.22","66","Logopäde","1856","1978","3834"
"ÖGK","Okt.22","75","Ergotherapeut","1945","1345","3290"
"ÖGK","Okt.22","","Gesamt","42103","23167","65270"
"ÖGK","Nov.22","63","Physiotherapie","39308","21452","60760"
"ÖGK","Nov.22","66","Logopäde","2164","2129","4293"
"ÖGK","Nov.22","75","Ergotherapeut","2207","1463","3670"
"ÖGK","Nov.22","","Gesamt","43679","25044","68723"
"ÖGK","Dez.22","63","Physiotherapie","34702","18955","53657"
"ÖGK","Dez.22","66","Logopäde","1826","1714","3540"
"ÖGK","Dez.22","75","Ergotherapeut","3872","1237","5109"
"ÖGK","Dez.22","","Gesamt","40400","21906","62306"
"ÖGK","Jän.23","63","Physiotherapie","36146","23245","59391"
"ÖGK","Jän.23","66","Logopäde","2091","2121","4212"
"ÖGK","Jän.23","75","Ergotherapeut","2238","1696","3934"
"ÖGK","Jän.23","","Gesamt","40475","27062","67537"
"ÖGK","Feb.23","63","Physiotherapie","36763","21907","58670"
"ÖGK","Feb.23","66","Logopäde","2248","1932","4180"
"ÖGK","Feb.23","75","Ergotherapeut","2167","1527","3694"
"ÖGK","Feb.23","","Gesamt","41178","25366","66544"
