"ÖGK-LS","Monat.Jahr","FG-Code","Fachrichtung","postal","online","Gesamt"
"ÖGK-B","Jän.21","1","Arzt für Allgemeinmedizin","690","453","1143"
"ÖGK-B","Jän.21","2","FA für Anästhesiologie und Intensivmedizin","","",""
"ÖGK-B","Jän.21","3","FA für Augenheilkunde und Optometrie","352","254","606"
"ÖGK-B","Jän.21","4","FA für Chirurgie","75","24","99"
"ÖGK-B","Jän.21","5","FA für Haut- und Geschlechtskrankheiten","419","134","553"
"ÖGK-B","Jän.21","6","FA für Frauenheilkunde und Geburtshilfe","521","736","1257"
"ÖGK-B","Jän.21","7","FA für Innere Medizin","538","101","639"
"ÖGK-B","Jän.21","8","FA für Kinder- und Jugendheilkunde","107","48","155"
"ÖGK-B","Jän.21","9","FA für Hals-, Nasen- und Ohrenerkrankungen","119","27","146"
"ÖGK-B","Jän.21","10","FA für Lungenkrankheiten","12","2","14"
"ÖGK-B","Jän.21","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","121","30","151"
"ÖGK-B","Jän.21","12","FA für Orthopädie und orthopädische Chirurgie","459","121","580"
"ÖGK-B","Jän.21","13","FA für Physikalische Medizin","3","4","7"
"ÖGK-B","Jän.21","14","FA für Radiologie","14","7","21"
"ÖGK-B","Jän.21","15","FA für Unfallchirurgie","80","21","101"
"ÖGK-B","Jän.21","16","FA für Urologie","168","98","266"
"ÖGK-B","Jän.21","18","FA für Neurochirurgie","9","","9"
"ÖGK-B","Jän.21","19","FA für Neurologie","55","12","67"
"ÖGK-B","Jän.21","20","FA für Psychiatrie","67","33","100"
"ÖGK-B","Jän.21","21","FA für Plastische Chirurgie","6","2","8"
"ÖGK-B","Jän.21","22","FA für Kinderchirurgie","","",""
"ÖGK-B","Jän.21","23","FA für Mund., Kiefer- und Gesichtschirurgie","1","","1"
"ÖGK-B","Jän.21","24","FA für Nuklearmedizin","3","3","6"
"ÖGK-B","Jän.21","26","FA für Strahlentherapie - Radioonkologie","","",""
"ÖGK-B","Jän.21","29","FA für Immunologie","","",""
"ÖGK-B","Jän.21","32","FA für Kinder- und Jugendpsychiatrie","","",""
"ÖGK-B","Jän.21","34","FA für medizinische Biologie","","",""
"ÖGK-B","Jän.21","50","FA für medizinische und chemische Labordiagnostik","","",""
"ÖGK-B","Jän.21","53","FA für Pathologie und Histologie","","1","1"
"ÖGK-B","Jän.21","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","","",""
"ÖGK-B","Jän.21","","Gesamt","3819","2111","5930"
"ÖGK-B","Feb.21","1","Arzt für Allgemeinmedizin","1229","266","1495"
"ÖGK-B","Feb.21","2","FA für Anästhesiologie und Intensivmedizin","3","2","5"
"ÖGK-B","Feb.21","3","FA für Augenheilkunde und Optometrie","663","195","858"
"ÖGK-B","Feb.21","4","FA für Chirurgie","138","8","146"
"ÖGK-B","Feb.21","5","FA für Haut- und Geschlechtskrankheiten","739","86","825"
"ÖGK-B","Feb.21","6","FA für Frauenheilkunde und Geburtshilfe","973","450","1423"
"ÖGK-B","Feb.21","7","FA für Innere Medizin","894","50","944"
"ÖGK-B","Feb.21","8","FA für Kinder- und Jugendheilkunde","211","23","234"
"ÖGK-B","Feb.21","9","FA für Hals-, Nasen- und Ohrenerkrankungen","258","18","276"
"ÖGK-B","Feb.21","10","FA für Lungenkrankheiten","21","1","22"
"ÖGK-B","Feb.21","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","230","18","248"
"ÖGK-B","Feb.21","12","FA für Orthopädie und orthopädische Chirurgie","850","81","931"
"ÖGK-B","Feb.21","13","FA für Physikalische Medizin","6","1","7"
"ÖGK-B","Feb.21","14","FA für Radiologie","22","1","23"
"ÖGK-B","Feb.21","15","FA für Unfallchirurgie","152","16","168"
"ÖGK-B","Feb.21","16","FA für Urologie","232","65","297"
"ÖGK-B","Feb.21","18","FA für Neurochirurgie","22","2","24"
"ÖGK-B","Feb.21","19","FA für Neurologie","113","7","120"
"ÖGK-B","Feb.21","20","FA für Psychiatrie","140","16","156"
"ÖGK-B","Feb.21","21","FA für Plastische Chirurgie","3","2","5"
"ÖGK-B","Feb.21","22","FA für Kinderchirurgie","","",""
"ÖGK-B","Feb.21","23","FA für Mund., Kiefer- und Gesichtschirurgie","3","","3"
"ÖGK-B","Feb.21","24","FA für Nuklearmedizin","2","1","3"
"ÖGK-B","Feb.21","26","FA für Strahlentherapie - Radioonkologie","","",""
"ÖGK-B","Feb.21","29","FA für Immunologie","","",""
"ÖGK-B","Feb.21","32","FA für Kinder- und Jugendpsychiatrie","","",""
"ÖGK-B","Feb.21","34","FA für medizinische Biologie","","",""
"ÖGK-B","Feb.21","50","FA für medizinische und chemische Labordiagnostik","1","","1"
"ÖGK-B","Feb.21","53","FA für Pathologie und Histologie","","",""
"ÖGK-B","Feb.21","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","","",""
"ÖGK-B","Feb.21","","Gesamt","6905","1309","8214"
"ÖGK-B","Mär.21","1","Arzt für Allgemeinmedizin","1603","275","1878"
"ÖGK-B","Mär.21","2","FA für Anästhesiologie und Intensivmedizin","1","","1"
"ÖGK-B","Mär.21","3","FA für Augenheilkunde und Optometrie","700","188","888"
"ÖGK-B","Mär.21","4","FA für Chirurgie","117","5","122"
"ÖGK-B","Mär.21","5","FA für Haut- und Geschlechtskrankheiten","774","97","871"
"ÖGK-B","Mär.21","6","FA für Frauenheilkunde und Geburtshilfe","984","502","1486"
"ÖGK-B","Mär.21","7","FA für Innere Medizin","963","57","1020"
"ÖGK-B","Mär.21","8","FA für Kinder- und Jugendheilkunde","264","45","309"
"ÖGK-B","Mär.21","9","FA für Hals-, Nasen- und Ohrenerkrankungen","207","25","232"
"ÖGK-B","Mär.21","10","FA für Lungenkrankheiten","8","7","15"
"ÖGK-B","Mär.21","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","242","13","255"
"ÖGK-B","Mär.21","12","FA für Orthopädie und orthopädische Chirurgie","825","83","908"
"ÖGK-B","Mär.21","13","FA für Physikalische Medizin","10","1","11"
"ÖGK-B","Mär.21","14","FA für Radiologie","32","2","34"
"ÖGK-B","Mär.21","15","FA für Unfallchirurgie","189","11","200"
"ÖGK-B","Mär.21","16","FA für Urologie","310","76","386"
"ÖGK-B","Mär.21","18","FA für Neurochirurgie","44","3","47"
"ÖGK-B","Mär.21","19","FA für Neurologie","182","9","191"
"ÖGK-B","Mär.21","20","FA für Psychiatrie","167","20","187"
"ÖGK-B","Mär.21","21","FA für Plastische Chirurgie","12","1","13"
"ÖGK-B","Mär.21","22","FA für Kinderchirurgie","","",""
"ÖGK-B","Mär.21","23","FA für Mund., Kiefer- und Gesichtschirurgie","3","1","4"
"ÖGK-B","Mär.21","24","FA für Nuklearmedizin","4","1","5"
"ÖGK-B","Mär.21","26","FA für Strahlentherapie - Radioonkologie","","",""
"ÖGK-B","Mär.21","29","FA für Immunologie","","",""
"ÖGK-B","Mär.21","32","FA für Kinder- und Jugendpsychiatrie","","",""
"ÖGK-B","Mär.21","34","FA für medizinische Biologie","","",""
"ÖGK-B","Mär.21","50","FA für medizinische und chemische Labordiagnostik","1","","1"
"ÖGK-B","Mär.21","53","FA für Pathologie und Histologie","","",""
"ÖGK-B","Mär.21","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","","",""
"ÖGK-B","Mär.21","","Gesamt","7642","1422","9064"
"ÖGK-B","Apr.21","1","Arzt für Allgemeinmedizin","1302","281","1583"
"ÖGK-B","Apr.21","2","FA für Anästhesiologie und Intensivmedizin","2","","2"
"ÖGK-B","Apr.21","3","FA für Augenheilkunde und Optometrie","618","193","811"
"ÖGK-B","Apr.21","4","FA für Chirurgie","135","18","153"
"ÖGK-B","Apr.21","5","FA für Haut- und Geschlechtskrankheiten","857","78","935"
"ÖGK-B","Apr.21","6","FA für Frauenheilkunde und Geburtshilfe","1091","483","1574"
"ÖGK-B","Apr.21","7","FA für Innere Medizin","1109","62","1171"
"ÖGK-B","Apr.21","8","FA für Kinder- und Jugendheilkunde","191","42","233"
"ÖGK-B","Apr.21","9","FA für Hals-, Nasen- und Ohrenerkrankungen","288","16","304"
"ÖGK-B","Apr.21","10","FA für Lungenkrankheiten","25","4","29"
"ÖGK-B","Apr.21","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","248","11","259"
"ÖGK-B","Apr.21","12","FA für Orthopädie und orthopädische Chirurgie","800","61","861"
"ÖGK-B","Apr.21","13","FA für Physikalische Medizin","1","5","6"
"ÖGK-B","Apr.21","14","FA für Radiologie","32","2","34"
"ÖGK-B","Apr.21","15","FA für Unfallchirurgie","149","18","167"
"ÖGK-B","Apr.21","16","FA für Urologie","277","79","356"
"ÖGK-B","Apr.21","18","FA für Neurochirurgie","15","1","16"
"ÖGK-B","Apr.21","19","FA für Neurologie","145","9","154"
"ÖGK-B","Apr.21","20","FA für Psychiatrie","177","26","203"
"ÖGK-B","Apr.21","21","FA für Plastische Chirurgie","3","6","9"
"ÖGK-B","Apr.21","22","FA für Kinderchirurgie","","",""
"ÖGK-B","Apr.21","23","FA für Mund., Kiefer- und Gesichtschirurgie","1","2","3"
"ÖGK-B","Apr.21","24","FA für Nuklearmedizin","5","1","6"
"ÖGK-B","Apr.21","26","FA für Strahlentherapie - Radioonkologie","","",""
"ÖGK-B","Apr.21","29","FA für Immunologie","","",""
"ÖGK-B","Apr.21","32","FA für Kinder- und Jugendpsychiatrie","","",""
"ÖGK-B","Apr.21","34","FA für medizinische Biologie","","",""
"ÖGK-B","Apr.21","50","FA für medizinische und chemische Labordiagnostik","1","","1"
"ÖGK-B","Apr.21","53","FA für Pathologie und Histologie","","1","1"
"ÖGK-B","Apr.21","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","","",""
"ÖGK-B","Apr.21","","Gesamt","7472","1399","8871"
"ÖGK-B","Mai.21","1","Arzt für Allgemeinmedizin","1191","382","1573"
"ÖGK-B","Mai.21","2","FA für Anästhesiologie und Intensivmedizin","2","1","3"
"ÖGK-B","Mai.21","3","FA für Augenheilkunde und Optometrie","511","293","804"
"ÖGK-B","Mai.21","4","FA für Chirurgie","126","28","154"
"ÖGK-B","Mai.21","5","FA für Haut- und Geschlechtskrankheiten","651","152","803"
"ÖGK-B","Mai.21","6","FA für Frauenheilkunde und Geburtshilfe","947","674","1621"
"ÖGK-B","Mai.21","7","FA für Innere Medizin","887","109","996"
"ÖGK-B","Mai.21","8","FA für Kinder- und Jugendheilkunde","222","48","270"
"ÖGK-B","Mai.21","9","FA für Hals-, Nasen- und Ohrenerkrankungen","240","17","257"
"ÖGK-B","Mai.21","10","FA für Lungenkrankheiten","12","3","15"
"ÖGK-B","Mai.21","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","192","24","216"
"ÖGK-B","Mai.21","12","FA für Orthopädie und orthopädische Chirurgie","832","162","994"
"ÖGK-B","Mai.21","13","FA für Physikalische Medizin","2","3","5"
"ÖGK-B","Mai.21","14","FA für Radiologie","28","1","29"
"ÖGK-B","Mai.21","15","FA für Unfallchirurgie","175","15","190"
"ÖGK-B","Mai.21","16","FA für Urologie","242","78","320"
"ÖGK-B","Mai.21","18","FA für Neurochirurgie","21","3","24"
"ÖGK-B","Mai.21","19","FA für Neurologie","125","15","140"
"ÖGK-B","Mai.21","20","FA für Psychiatrie","130","23","153"
"ÖGK-B","Mai.21","21","FA für Plastische Chirurgie","7","1","8"
"ÖGK-B","Mai.21","22","FA für Kinderchirurgie","","",""
"ÖGK-B","Mai.21","23","FA für Mund., Kiefer- und Gesichtschirurgie","4","","4"
"ÖGK-B","Mai.21","24","FA für Nuklearmedizin","3","1","4"
"ÖGK-B","Mai.21","26","FA für Strahlentherapie - Radioonkologie","","",""
"ÖGK-B","Mai.21","29","FA für Immunologie","","",""
"ÖGK-B","Mai.21","32","FA für Kinder- und Jugendpsychiatrie","","",""
"ÖGK-B","Mai.21","34","FA für medizinische Biologie","","",""
"ÖGK-B","Mai.21","50","FA für medizinische und chemische Labordiagnostik","1","","1"
"ÖGK-B","Mai.21","53","FA für Pathologie und Histologie","1","","1"
"ÖGK-B","Mai.21","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","","",""
"ÖGK-B","Mai.21","","Gesamt","6552","2033","8585"
"ÖGK-B","Jun.21","1","Arzt für Allgemeinmedizin","896","325","1221"
"ÖGK-B","Jun.21","2","FA für Anästhesiologie und Intensivmedizin","1","","1"
"ÖGK-B","Jun.21","3","FA für Augenheilkunde und Optometrie","426","217","643"
"ÖGK-B","Jun.21","4","FA für Chirurgie","83","8","91"
"ÖGK-B","Jun.21","5","FA für Haut- und Geschlechtskrankheiten","426","103","529"
"ÖGK-B","Jun.21","6","FA für Frauenheilkunde und Geburtshilfe","592","492","1084"
"ÖGK-B","Jun.21","7","FA für Innere Medizin","567","72","639"
"ÖGK-B","Jun.21","8","FA für Kinder- und Jugendheilkunde","109","31","140"
"ÖGK-B","Jun.21","9","FA für Hals-, Nasen- und Ohrenerkrankungen","179","13","192"
"ÖGK-B","Jun.21","10","FA für Lungenkrankheiten","12","3","15"
"ÖGK-B","Jun.21","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","152","16","168"
"ÖGK-B","Jun.21","12","FA für Orthopädie und orthopädische Chirurgie","497","79","576"
"ÖGK-B","Jun.21","13","FA für Physikalische Medizin","8","1","9"
"ÖGK-B","Jun.21","14","FA für Radiologie","13","3","16"
"ÖGK-B","Jun.21","15","FA für Unfallchirurgie","99","10","109"
"ÖGK-B","Jun.21","16","FA für Urologie","159","85","244"
"ÖGK-B","Jun.21","18","FA für Neurochirurgie","15","1","16"
"ÖGK-B","Jun.21","19","FA für Neurologie","111","7","118"
"ÖGK-B","Jun.21","20","FA für Psychiatrie","122","28","150"
"ÖGK-B","Jun.21","21","FA für Plastische Chirurgie","8","1","9"
"ÖGK-B","Jun.21","22","FA für Kinderchirurgie","","",""
"ÖGK-B","Jun.21","23","FA für Mund., Kiefer- und Gesichtschirurgie","","",""
"ÖGK-B","Jun.21","24","FA für Nuklearmedizin","1","3","4"
"ÖGK-B","Jun.21","26","FA für Strahlentherapie - Radioonkologie","","",""
"ÖGK-B","Jun.21","29","FA für Immunologie","","",""
"ÖGK-B","Jun.21","32","FA für Kinder- und Jugendpsychiatrie","","",""
"ÖGK-B","Jun.21","34","FA für medizinische Biologie","","",""
"ÖGK-B","Jun.21","50","FA für medizinische und chemische Labordiagnostik","1","","1"
"ÖGK-B","Jun.21","53","FA für Pathologie und Histologie","","",""
"ÖGK-B","Jun.21","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","","",""
"ÖGK-B","Jun.21","","Gesamt","4477","1498","5975"
"ÖGK-B","Jul.21","1","Arzt für Allgemeinmedizin","492","204","696"
"ÖGK-B","Jul.21","2","FA für Anästhesiologie und Intensivmedizin","","",""
"ÖGK-B","Jul.21","3","FA für Augenheilkunde und Optometrie","247","131","378"
"ÖGK-B","Jul.21","4","FA für Chirurgie","61","7","68"
"ÖGK-B","Jul.21","5","FA für Haut- und Geschlechtskrankheiten","285","62","347"
"ÖGK-B","Jul.21","6","FA für Frauenheilkunde und Geburtshilfe","348","347","695"
"ÖGK-B","Jul.21","7","FA für Innere Medizin","457","48","505"
"ÖGK-B","Jul.21","8","FA für Kinder- und Jugendheilkunde","118","36","154"
