"ÖGK-LS","Monat.Jahr","FG-Code","Fachrichtung","Refundierungen","Rechnungsbeträge"
"ÖGK","2021","63","Physiotherapie","111700686.2","241871296.87"
"ÖGK","2021","66","Logopäde","6456933.48","12412564.96"
"ÖGK","2021","75","Ergotherapeut","7642355.8","14774703.18"
"ÖGK","Durchschnitt 21","","Gesamt","125799975.48","269058565.01"
"ÖGK","2022","63","Physiotherapie","130596636.88","255234135.63"
"ÖGK","2022","66","Logopäde","7307387.07","13211171.36"
"ÖGK","2022","75","Ergotherapeut","9003491.13","15872737.01"
"ÖGK","Durchschnitt 22","","Gesamt","146907515.08","284318044.0"
"ÖGK","2023","63","Physiotherapie","167172933.01","288698196.57"
"ÖGK","2023","66","Logopäde","9020224.53","14922973.67"
"ÖGK","2023","75","Ergotherapeut","11120567.05","18522676.09"
"ÖGK","Durchschnitt 23","","Gesamt","187313724.59","322143846.33"
