"FG-Code","Fachrichtung","Refundierungen","Rechnungsbeträge"
"1","Arzt für Allgemeinmedizin","17489688.53","58379285.13"
"2","FA für Anästhesiologie und Intensivmedizin","637951.16","2855178.4"
"3","FA für Augenheilkunde und Optometrie","19993127.51","48783015.89"
"4","FA für Chirurgie","5775196.12","20098535.03"
"5","FA für Haut- und Geschlechtskrankheiten","14705510.58","51923067.4"
"6","FA für Frauenheilkunde und Geburtshilfe","33961046.91","88030707.6"
"7","FA für Innere Medizin","31147410.35","76358884.75"
"8","FA für Kinder- und Jugendheilkunde","12806998.42","40367605.3"
"9","FA für Hals-, Nasen- und Ohrenerkrankungen","6571092.92","15758927.83"
"10","FA für Lungenkrankheiten","1862855.07","4022569.34"
"11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","1157187.67","2713898.3"
"12","FA für Orthopädie und orthopädische Chirurgie","14582162.25","49782117.83"
"13","FA für Physikalische Medizin","1038561.49","3749414.09"
"14","FA für Radiologie","1027669.15","2351056.73"
"15","FA für Unfallchirurgie","2264806.2","14197479.89"
"16","FA für Urologie","4882113.14","15762037.77"
"18","FA für Neurochirurgie","461814.45","3137252.76"
"19","FA für Neurologie","5619391.65","12313429.68"
"20","FA für Psychiatrie","17565990.81","26839175.89"
"21","FA für Plastische Chirurgie","461224.89","3884364.42"
"22","FA für Kinderchirurgie","66733.03","480432.8"
"23","FA für Mund., Kiefer- und Gesichtschirurgie","1529338.35","5491702.03"
"24","FA für Nuklearmedizin","1537293.61","4904883.06"
"26","FA für Strahlentherapie - Radioonkologie","6434.7","29001.33"
"29","FA für Immunologie","2669.09","23184.12"
"32","FA für Kinder- und Jugendpsychiatrie","1121458.58","1270049.93"
"50","FA für medizinische und chemische Labordiagnostik","12159.43","56948.28"
"53","FA für Pathologie und Histologie","4840.5","28915.45"
"55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","",""
"","Gesamt","198292726.56","553593121.03"
