"ÖGK-LS","Monat.Jahr","FG-Code","Fachrichtung","postal","online","Gesamt"
"ÖGK","Jän.23","5.0","FA für Haut- und Geschlechtskrankheiten","17461.0","15099.0","32560.0"
"ÖGK","Jän.23","6.0","FA für Frauenheilkunde und Geburtshilfe","32647.0","32114.0","64761.0"
"ÖGK","Jän.23","7.0","FA für Innere Medizin","18795.0","13721.0","32516.0"
"ÖGK","Jän.23","8.0","FA für Kinder- und Jugendheilkunde","11806.0","26126.0","37932.0"
"ÖGK","Jän.23","9.0","FA für Hals-, Nasen- und Ohrenerkrankungen","6278.0","5656.0","11934.0"
"ÖGK","Jän.23","10.0","FA für Lungenkrankheiten","1136.0","1541.0","2677.0"
"ÖGK","Jän.23","11.0","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","1281.0","479.0","1760.0"
"ÖGK","Jän.23","12.0","FA für Orthopädie und orthopädische Chirurgie","17310.0","12148.0","29458.0"
"ÖGK","Jän.23","13.0","FA für Physikalische Medizin","1083.0","976.0","2059.0"
"ÖGK","Jän.23","14.0","FA für Radiologie","1587.0","885.0","2472.0"
"ÖGK","Jän.23","15.0","FA für Unfallchirurgie","4093.0","3305.0","7398.0"
"ÖGK","Jän.23","16.0","FA für Urologie","5713.0","3983.0","9696.0"
"ÖGK","Jän.23","18.0","FA für Neurochirurgie","967.0","518.0","1485.0"
"ÖGK","Jän.23","19.0","FA für Neurologie","5213.0","2658.0","7871.0"
"ÖGK","Jän.23","20.0","FA für Psychiatrie","7960.0","6599.0","14559.0"
"ÖGK","Jän.23","21.0","FA für Plastische Chirurgie","492.0","377.0","869.0"
"ÖGK","Jän.23","22.0","FA für Kinderchirurgie","72.0","140.0","212.0"
"ÖGK","Jän.23","23.0","FA für Mund., Kiefer- und Gesichtschirurgie","897.0","468.0","1365.0"
"ÖGK","Jän.23","24.0","FA für Nuklearmedizin","1295.0","1607.0","2902.0"
"ÖGK","Jän.23","26.0","FA für Strahlentherapie - Radioonkologie","13.0","6.0","19.0"
"ÖGK","Jän.23","29.0","FA für Immunologie","2.0","22.0","24.0"
"ÖGK","Jän.23","32.0","FA für Kinder- und Jugendpsychiatrie","311.0","313.0","624.0"
"ÖGK","Jän.23","34.0","FA für medizinische Biologie","","",""
"ÖGK","Jän.23","50.0","FA für medizinische und chemische Labordiagnostik","81.0","74.0","155.0"
"ÖGK","Jän.23","53.0","FA für Pathologie und Histologie","58.0","51.0","109.0"
"ÖGK","Jän.23","55.0","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","9.0","14.0","23.0"
"ÖGK","Jän.23","","Gesamt","183996.0","173941.0","357937.0"
"ÖGK","Feb.23","5.0","FA für Haut- und Geschlechtskrankheiten","18464.0","13634.0","32098.0"
"ÖGK","Feb.23","6.0","FA für Frauenheilkunde und Geburtshilfe","32120.0","27441.0","59561.0"
"ÖGK","Feb.23","7.0","FA für Innere Medizin","19579.0","11677.0","31256.0"
"ÖGK","Feb.23","8.0","FA für Kinder- und Jugendheilkunde","11724.0","22814.0","34538.0"
"ÖGK","Feb.23","9.0","FA für Hals-, Nasen- und Ohrenerkrankungen","5479.0","5138.0","10617.0"
"ÖGK","Feb.23","10.0","FA für Lungenkrankheiten","970.0","1355.0","2325.0"
"ÖGK","Feb.23","11.0","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","1106.0","611.0","1717.0"
"ÖGK","Feb.23","12.0","FA für Orthopädie und orthopädische Chirurgie","16600.0","11274.0","27874.0"
"ÖGK","Feb.23","13.0","FA für Physikalische Medizin","1000.0","894.0","1894.0"
"ÖGK","Feb.23","14.0","FA für Radiologie","1613.0","714.0","2327.0"
"ÖGK","Feb.23","15.0","FA für Unfallchirurgie","3551.0","2645.0","6196.0"
"ÖGK","Feb.23","16.0","FA für Urologie","4961.0","3234.0","8195.0"
"ÖGK","Feb.23","18.0","FA für Neurochirurgie","931.0","413.0","1344.0"
"ÖGK","Feb.23","19.0","FA für Neurologie","4558.0","2267.0","6825.0"
"ÖGK","Feb.23","20.0","FA für Psychiatrie","6530.0","6326.0","12856.0"
"ÖGK","Feb.23","21.0","FA für Plastische Chirurgie","402.0","330.0","732.0"
"ÖGK","Feb.23","22.0","FA für Kinderchirurgie","86.0","127.0","213.0"
"ÖGK","Feb.23","23.0","FA für Mund., Kiefer- und Gesichtschirurgie","748.0","448.0","1196.0"
"ÖGK","Feb.23","24.0","FA für Nuklearmedizin","1381.0","1449.0","2830.0"
"ÖGK","Feb.23","26.0","FA für Strahlentherapie - Radioonkologie","22.0","10.0","32.0"
"ÖGK","Feb.23","29.0","FA für Immunologie","16.0","21.0","37.0"
"ÖGK","Feb.23","32.0","FA für Kinder- und Jugendpsychiatrie","287.0","353.0","640.0"
"ÖGK","Feb.23","34.0","FA für medizinische Biologie","","",""
"ÖGK","Feb.23","50.0","FA für medizinische und chemische Labordiagnostik","90.0","68.0","158.0"
"ÖGK","Feb.23","53.0","FA für Pathologie und Histologie","56.0","32.0","88.0"
"ÖGK","Feb.23","55.0","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","18.0","10.0","28.0"
"ÖGK","Feb.23","","Gesamt","181441.0","151840.0","333281.0"
"ÖGK","Mär.23","5.0","FA für Haut- und Geschlechtskrankheiten","21490.0","18497.0","39987.0"
"ÖGK","Mär.23","6.0","FA für Frauenheilkunde und Geburtshilfe","38812.0","38101.0","76913.0"
"ÖGK","Mär.23","7.0","FA für Innere Medizin","23793.0","16071.0","39864.0"
"ÖGK","Mär.23","8.0","FA für Kinder- und Jugendheilkunde","15035.0","30141.0","45176.0"
"ÖGK","Mär.23","9.0","FA für Hals-, Nasen- und Ohrenerkrankungen","7656.0","7153.0","14809.0"
"ÖGK","Mär.23","10.0","FA für Lungenkrankheiten","1258.0","1611.0","2869.0"
"ÖGK","Mär.23","11.0","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","1309.0","683.0","1992.0"
"ÖGK","Mär.23","12.0","FA für Orthopädie und orthopädische Chirurgie","20010.0","15082.0","35092.0"
"ÖGK","Mär.23","13.0","FA für Physikalische Medizin","1190.0","1165.0","2355.0"
"ÖGK","Mär.23","14.0","FA für Radiologie","2274.0","1103.0","3377.0"
