"ÖGK-LS","Monat.Jahr","FG-Code","Fachrichtung","postal","online","Gesamt"
"ÖGK","Jän.21","5.0","FA für Haut- und Geschlechtskrankheiten","15627.0","7877.0","23504.0"
"ÖGK","Jän.21","6.0","FA für Frauenheilkunde und Geburtshilfe","33092.0","15980.0","49072.0"
"ÖGK","Jän.21","7.0","FA für Innere Medizin","17025.0","6086.0","23111.0"
"ÖGK","Jän.21","8.0","FA für Kinder- und Jugendheilkunde","8396.0","12038.0","20434.0"
"ÖGK","Jän.21","9.0","FA für Hals-, Nasen- und Ohrenerkrankungen","3484.0","2201.0","5685.0"
"ÖGK","Jän.21","10.0","FA für Lungenkrankheiten","697.0","434.0","1131.0"
"ÖGK","Jän.21","11.0","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","3488.0","2066.0","5554.0"
"ÖGK","Jän.21","12.0","FA für Orthopädie und orthopädische Chirurgie","10467.0","5381.0","15848.0"
"ÖGK","Jän.21","13.0","FA für Physikalische Medizin","513.0","423.0","936.0"
"ÖGK","Jän.21","14.0","FA für Radiologie","1456.0","605.0","2061.0"
"ÖGK","Jän.21","15.0","FA für Unfallchirurgie","3650.0","1625.0","5275.0"
"ÖGK","Jän.21","16.0","FA für Urologie","4223.0","1646.0","5869.0"
"ÖGK","Jän.21","18.0","FA für Neurochirurgie","716.0","227.0","943.0"
"ÖGK","Jän.21","19.0","FA für Neurologie","2729.0","1196.0","3925.0"
"ÖGK","Jän.21","20.0","FA für Psychiatrie","3477.0","2365.0","5842.0"
"ÖGK","Jän.21","21.0","FA für Plastische Chirurgie","242.0","172.0","414.0"
"ÖGK","Jän.21","22.0","FA für Kinderchirurgie","39.0","114.0","153.0"
"ÖGK","Jän.21","23.0","FA für Mund., Kiefer- und Gesichtschirurgie","383.0","64.0","447.0"
"ÖGK","Jän.21","24.0","FA für Nuklearmedizin","611.0","326.0","937.0"
"ÖGK","Jän.21","26.0","FA für Strahlentherapie - Radioonkologie","4.0","1.0","5.0"
"ÖGK","Jän.21","29.0","FA für Immunologie","3.0","13.0","16.0"
"ÖGK","Jän.21","32.0","FA für Kinder- und Jugendpsychiatrie","241.0","237.0","478.0"
"ÖGK","Jän.21","34.0","FA für medizinische Biologie","","",""
"ÖGK","Jän.21","50.0","FA für medizinische und chemische Labordiagnostik","102.0","166.0","268.0"
"ÖGK","Jän.21","53.0","FA für Pathologie und Histologie","43.0","22.0","65.0"
"ÖGK","Jän.21","55.0","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","31.0","12.0","43.0"
"ÖGK","Jän.21","","Gesamt","171906.0","96712.0","268618.0"
"ÖGK","Feb.21","5.0","FA für Haut- und Geschlechtskrankheiten","21988.0","6655.0","28643.0"
"ÖGK","Feb.21","6.0","FA für Frauenheilkunde und Geburtshilfe","44197.0","13851.0","58048.0"
"ÖGK","Feb.21","7.0","FA für Innere Medizin","23227.0","4978.0","28205.0"
"ÖGK","Feb.21","8.0","FA für Kinder- und Jugendheilkunde","14331.0","8646.0","22977.0"
"ÖGK","Feb.21","9.0","FA für Hals-, Nasen- und Ohrenerkrankungen","5115.0","1779.0","6894.0"
"ÖGK","Feb.21","10.0","FA für Lungenkrankheiten","3879.0","2125.0","6004.0"
"ÖGK","Feb.21","11.0","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","4978.0","1424.0","6402.0"
"ÖGK","Feb.21","12.0","FA für Orthopädie und orthopädische Chirurgie","15643.0","4132.0","19775.0"
"ÖGK","Feb.21","13.0","FA für Physikalische Medizin","698.0","221.0","919.0"
"ÖGK","Feb.21","14.0","FA für Radiologie","1568.0","504.0","2072.0"
"ÖGK","Feb.21","15.0","FA für Unfallchirurgie","4526.0","1273.0","5799.0"
"ÖGK","Feb.21","16.0","FA für Urologie","6110.0","1285.0","7395.0"
"ÖGK","Feb.21","18.0","FA für Neurochirurgie","867.0","188.0","1055.0"
"ÖGK","Feb.21","19.0","FA für Neurologie","3981.0","1031.0","5012.0"
"ÖGK","Feb.21","20.0","FA für Psychiatrie","4585.0","1834.0","6419.0"
"ÖGK","Feb.21","21.0","FA für Plastische Chirurgie","266.0","130.0","396.0"
"ÖGK","Feb.21","22.0","FA für Kinderchirurgie","80.0","97.0","177.0"
"ÖGK","Feb.21","23.0","FA für Mund., Kiefer- und Gesichtschirurgie","426.0","85.0","511.0"
"ÖGK","Feb.21","24.0","FA für Nuklearmedizin","798.0","236.0","1034.0"
"ÖGK","Feb.21","26.0","FA für Strahlentherapie - Radioonkologie","27.0","7.0","34.0"
"ÖGK","Feb.21","29.0","FA für Immunologie","2.0","3.0","5.0"
"ÖGK","Feb.21","32.0","FA für Kinder- und Jugendpsychiatrie","287.0","153.0","440.0"
"ÖGK","Feb.21","34.0","FA für medizinische Biologie","","",""
"ÖGK","Feb.21","50.0","FA für medizinische und chemische Labordiagnostik","144.0","135.0","279.0"
"ÖGK","Feb.21","53.0","FA für Pathologie und Histologie","53.0","20.0","73.0"
"ÖGK","Feb.21","55.0","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","51.0","11.0","62.0"
"ÖGK","Feb.21","","Gesamt","238990.0","79087.0","318077.0"
"ÖGK","Mär.21","5.0","FA für Haut- und Geschlechtskrankheiten","26267.0","8754.0","35021.0"
"ÖGK","Mär.21","6.0","FA für Frauenheilkunde und Geburtshilfe","51976.0","17465.0","69441.0"
"ÖGK","Mär.21","7.0","FA für Innere Medizin","27913.0","6432.0","34345.0"
"ÖGK","Mär.21","8.0","FA für Kinder- und Jugendheilkunde","14087.0","10739.0","24826.0"
"ÖGK","Mär.21","9.0","FA für Hals-, Nasen- und Ohrenerkrankungen","5979.0","2336.0","8315.0"
"ÖGK","Mär.21","10.0","FA für Lungenkrankheiten","1908.0","869.0","2777.0"
"ÖGK","Mär.21","11.0","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","6055.0","1736.0","7791.0"
"ÖGK","Mär.21","12.0","FA für Orthopädie und orthopädische Chirurgie","20039.0","5345.0","25384.0"
"ÖGK","Mär.21","13.0","FA für Physikalische Medizin","803.0","340.0","1143.0"
"ÖGK","Mär.21","14.0","FA für Radiologie","2289.0","619.0","2908.0"
"ÖGK","Mär.21","15.0","FA für Unfallchirurgie","5157.0","1672.0","6829.0"
"ÖGK","Mär.21","16.0","FA für Urologie","7715.0","1760.0","9475.0"
"ÖGK","Mär.21","18.0","FA für Neurochirurgie","1046.0","255.0","1301.0"
"ÖGK","Mär.21","19.0","FA für Neurologie","4365.0","1139.0","5504.0"
"ÖGK","Mär.21","20.0","FA für Psychiatrie","5157.0","2235.0","7392.0"
"ÖGK","Mär.21","21.0","FA für Plastische Chirurgie","417.0","186.0","603.0"
"ÖGK","Mär.21","22.0","FA für Kinderchirurgie","107.0","100.0","207.0"
"ÖGK","Mär.21","23.0","FA für Mund., Kiefer- und Gesichtschirurgie","676.0","93.0","769.0"
"ÖGK","Mär.21","24.0","FA für Nuklearmedizin","800.0","309.0","1109.0"
"ÖGK","Mär.21","26.0","FA für Strahlentherapie - Radioonkologie","20.0","1.0","21.0"
"ÖGK","Mär.21","29.0","FA für Immunologie","8.0","13.0","21.0"
"ÖGK","Mär.21","32.0","FA für Kinder- und Jugendpsychiatrie","468.0","170.0","638.0"
"ÖGK","Mär.21","34.0","FA für medizinische Biologie","","",""
"ÖGK","Mär.21","50.0","FA für medizinische und chemische Labordiagnostik","197.0","218.0","415.0"
"ÖGK","Mär.21","53.0","FA für Pathologie und Histologie","55.0","29.0","84.0"
"ÖGK","Mär.21","55.0","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","42.0","21.0","63.0"
"ÖGK","Mär.21","","Gesamt","280521.0","98723.0","379244.0"
"ÖGK","Apr.21","5.0","FA für Haut- und Geschlechtskrankheiten","22763.0","8695.0","31458.0"
"ÖGK","Apr.21","6.0","FA für Frauenheilkunde und Geburtshilfe","45707.0","16161.0","61868.0"
"ÖGK","Apr.21","7.0","FA für Innere Medizin","25972.0","6312.0","32284.0"
"ÖGK","Apr.21","8.0","FA für Kinder- und Jugendheilkunde","12181.0","11536.0","23717.0"
"ÖGK","Apr.21","9.0","FA für Hals-, Nasen- und Ohrenerkrankungen","5257.0","2289.0","7546.0"
"ÖGK","Apr.21","10.0","FA für Lungenkrankheiten","1101.0","747.0","1848.0"
"ÖGK","Apr.21","11.0","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","5328.0","1591.0","6919.0"
"ÖGK","Apr.21","12.0","FA für Orthopädie und orthopädische Chirurgie","18342.0","5744.0","24086.0"
"ÖGK","Apr.21","13.0","FA für Physikalische Medizin","758.0","447.0","1205.0"
"ÖGK","Apr.21","14.0","FA für Radiologie","1767.0","586.0","2353.0"
"ÖGK","Apr.21","15.0","FA für Unfallchirurgie","4647.0","1647.0","6294.0"
"ÖGK","Apr.21","16.0","FA für Urologie","7098.0","1706.0","8804.0"
"ÖGK","Apr.21","18.0","FA für Neurochirurgie","991.0","270.0","1261.0"
"ÖGK","Apr.21","19.0","FA für Neurologie","3873.0","1093.0","4966.0"
"ÖGK","Apr.21","20.0","FA für Psychiatrie","4592.0","2244.0","6836.0"
"ÖGK","Apr.21","21.0","FA für Plastische Chirurgie","390.0","194.0","584.0"
"ÖGK","Apr.21","22.0","FA für Kinderchirurgie","115.0","92.0","207.0"
"ÖGK","Apr.21","23.0","FA für Mund., Kiefer- und Gesichtschirurgie","605.0","98.0","703.0"
"ÖGK","Apr.21","24.0","FA für Nuklearmedizin","793.0","316.0","1109.0"
"ÖGK","Apr.21","26.0","FA für Strahlentherapie - Radioonkologie","23.0","4.0","27.0"
"ÖGK","Apr.21","29.0","FA für Immunologie","8.0","13.0","21.0"
"ÖGK","Apr.21","32.0","FA für Kinder- und Jugendpsychiatrie","331.0","175.0","506.0"
"ÖGK","Apr.21","34.0","FA für medizinische Biologie","","",""
"ÖGK","Apr.21","50.0","FA für medizinische und chemische Labordiagnostik","191.0","169.0","360.0"
"ÖGK","Apr.21","53.0","FA für Pathologie und Histologie","26.0","14.0","40.0"
"ÖGK","Apr.21","55.0","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","36.0","17.0","53.0"
"ÖGK","Apr.21","","Gesamt","249888.0","98243.0","348131.0"
"ÖGK","Mai.21","5.0","FA für Haut- und Geschlechtskrankheiten","19616.0","8203.0","27819.0"
"ÖGK","Mai.21","6.0","FA für Frauenheilkunde und Geburtshilfe","35815.0","14685.0","50500.0"
"ÖGK","Mai.21","7.0","FA für Innere Medizin","19044.0","6006.0","25050.0"
"ÖGK","Mai.21","8.0","FA für Kinder- und Jugendheilkunde","9764.0","10187.0","19951.0"
"ÖGK","Mai.21","9.0","FA für Hals-, Nasen- und Ohrenerkrankungen","4095.0","2039.0","6134.0"
"ÖGK","Mai.21","10.0","FA für Lungenkrankheiten","1037.0","684.0","1721.0"
"ÖGK","Mai.21","11.0","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","3800.0","1657.0","5457.0"
"ÖGK","Mai.21","12.0","FA für Orthopädie und orthopädische Chirurgie","13311.0","5218.0","18529.0"
"ÖGK","Mai.21","13.0","FA für Physikalische Medizin","562.0","296.0","858.0"
"ÖGK","Mai.21","14.0","FA für Radiologie","1593.0","579.0","2172.0"
"ÖGK","Mai.21","15.0","FA für Unfallchirurgie","3663.0","1584.0","5247.0"
"ÖGK","Mai.21","16.0","FA für Urologie","4849.0","1597.0","6446.0"
"ÖGK","Mai.21","18.0","FA für Neurochirurgie","713.0","236.0","949.0"
"ÖGK","Mai.21","19.0","FA für Neurologie","3076.0","1027.0","4103.0"
"ÖGK","Mai.21","20.0","FA für Psychiatrie","3640.0","1912.0","5552.0"
"ÖGK","Mai.21","21.0","FA für Plastische Chirurgie","319.0","171.0","490.0"
"ÖGK","Mai.21","22.0","FA für Kinderchirurgie","98.0","125.0","223.0"
"ÖGK","Mai.21","23.0","FA für Mund., Kiefer- und Gesichtschirurgie","448.0","76.0","524.0"
"ÖGK","Mai.21","24.0","FA für Nuklearmedizin","775.0","257.0","1032.0"
"ÖGK","Mai.21","26.0","FA für Strahlentherapie - Radioonkologie","14.0","7.0","21.0"
"ÖGK","Mai.21","29.0","FA für Immunologie","5.0","10.0","15.0"
"ÖGK","Mai.21","32.0","FA für Kinder- und Jugendpsychiatrie","304.0","131.0","435.0"
"ÖGK","Mai.21","34.0","FA für medizinische Biologie","","",""
"ÖGK","Mai.21","50.0","FA für medizinische und chemische Labordiagnostik","169.0","131.0","300.0"
"ÖGK","Mai.21","53.0","FA für Pathologie und Histologie","31.0","17.0","48.0"
"ÖGK","Mai.21","55.0","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","27.0","18.0","45.0"
"ÖGK","Mai.21","","Gesamt","196284.0","90298.0","286582.0"
"ÖGK","Jun.21","5.0","FA für Haut- und Geschlechtskrankheiten","22042.0","8841.0","30883.0"
"ÖGK","Jun.21","6.0","FA für Frauenheilkunde und Geburtshilfe","41997.0","16670.0","58667.0"
"ÖGK","Jun.21","7.0","FA für Innere Medizin","24079.0","6622.0","30701.0"
"ÖGK","Jun.21","8.0","FA für Kinder- und Jugendheilkunde","11867.0","12171.0","24038.0"
"ÖGK","Jun.21","9.0","FA für Hals-, Nasen- und Ohrenerkrankungen","4761.0","2186.0","6947.0"
"ÖGK","Jun.21","10.0","FA für Lungenkrankheiten","1205.0","681.0","1886.0"
"ÖGK","Jun.21","11.0","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","4234.0","1772.0","6006.0"
"ÖGK","Jun.21","12.0","FA für Orthopädie und orthopädische Chirurgie","16001.0","5334.0","21335.0"
"ÖGK","Jun.21","13.0","FA für Physikalische Medizin","564.0","453.0","1017.0"
"ÖGK","Jun.21","14.0","FA für Radiologie","1417.0","581.0","1998.0"
"ÖGK","Jun.21","15.0","FA für Unfallchirurgie","4336.0","1716.0","6052.0"
"ÖGK","Jun.21","16.0","FA für Urologie","6073.0","1664.0","7737.0"
