"ÖGK-LS","Monat.Jahr","FG-Code","Fachrichtung","Refundierungen","Rechnungsbeträge"
"ÖGK-B","2021","63","Physiotherapie","2091769.7","4791310.87"
"ÖGK-B","2021","66","Logopäde","155240.22","299699.1"
"ÖGK-B","2021","75","Ergotherapeut","143907.45","231720.14"
"ÖGK-B","Durchschnitt 21","","Gesamt","2390917.37","5322730.11"
"ÖGK-B","2022","63","Physiotherapie","2693997.46","5448418.05"
"ÖGK-B","2022","66","Logopäde","185766.29","369672.39"
"ÖGK-B","2022","75","Ergotherapeut","170047.95","269745.5"
"ÖGK-B","Durchschnitt 22","","Gesamt","3049811.7","6087835.94"
"ÖGK-B","2023","63","Physiotherapie","3923825.28","6450556.84"
"ÖGK-B","2023","66","Logopäde","245533.13","419355.04"
"ÖGK-B","2023","75","Ergotherapeut","258831.73","391203.55"
"ÖGK-B","Durchschnitt 23","","Gesamt","4428190.14","7261115.43"
"ÖGK-K","2021","63","Physiotherapie","4865028.82","11340827.02"
"ÖGK-K","2021","66","Logopäde","264967.26","469796.38"
"ÖGK-K","2021","75","Ergotherapeut","413921.27","1853030.48"
"ÖGK-K","Durchschnitt 21","","Gesamt","5543917.35","13663653.88"
"ÖGK-K","2022","63","Physiotherapie","6358856.53","11968345.51"
"ÖGK-K","2022","66","Logopäde","290235.43","503570.2"
"ÖGK-K","2022","75","Ergotherapeut","423390.67","1882879.16"
"ÖGK-K","Durchschnitt 22","","Gesamt","7072482.63","14354794.87"
"ÖGK-K","2023","63","Physiotherapie","9596489.41","16093310.63"
"ÖGK-K","2023","66","Logopäde","428123.67","689940.93"
"ÖGK-K","2023","75","Ergotherapeut","661127.79","2212866.0"
"ÖGK-K","Durchschnitt 23","","Gesamt","10685740.87","18996117.56"
"ÖGK-N","2021","63","Physiotherapie","13426650.57","30706084.6"
"ÖGK-N","2021","66","Logopäde","1150429.46","2154351.79"
"ÖGK-N","2021","75","Ergotherapeut","1497899.53","2310666.29"
"ÖGK-N","Durchschnitt 21","","Gesamt","16074979.56","35171102.68"
"ÖGK-N","2022","63","Physiotherapie","19179533.47","36760980.85"
"ÖGK-N","2022","66","Logopäde","1480514.9","2684075.66"
"ÖGK-N","2022","75","Ergotherapeut","2044231.26","3202269.17"
"ÖGK-N","Durchschnitt 22","","Gesamt","22704279.63","42647325.68"
"ÖGK-N","2023","63","Physiotherapie","20541788.27","34436199.45"
"ÖGK-N","2023","66","Logopäde","1516656.29","2533955.18"
"ÖGK-N","2023","75","Ergotherapeut","2122200.17","3234567.75"
"ÖGK-N","Durchschnitt 23","","Gesamt","24180644.73","40204722.38"
"ÖGK-O","2021","63","Physiotherapie","27833706.39","50581005.39"
"ÖGK-O","2021","66","Logopäde","916929.51","1524734.23"
"ÖGK-O","2021","75","Ergotherapeut","1731101.37","2747916.49"
"ÖGK-O","Durchschnitt 21","","Gesamt","30481737.27","54853656.11"
"ÖGK-O","2022","63","Physiotherapie","30333674.21","55242510.11"
"ÖGK-O","2022","66","Logopäde","1109051.26","1837708.19"
"ÖGK-O","2022","75","Ergotherapeut","1845868.56","2917521.64"
"ÖGK-O","Durchschnitt 22","","Gesamt","33288594.03","59997739.94"
"ÖGK-O","2023","63","Physiotherapie","36291889.31","61805755.66"
"ÖGK-O","2023","66","Logopäde","1309702.47","2056880.61"
"ÖGK-O","2023","75","Ergotherapeut","2332614.36","3483913.89"
"ÖGK-O","Durchschnitt 23","","Gesamt","39934206.14","67346550.16"
"ÖGK-S","2021","63","Physiotherapie","14391086.21","29717508.47"
"ÖGK-S","2021","66","Logopäde","264364.42","728254.13"
"ÖGK-S","2021","75","Ergotherapeut","513468.62","1065274.46"
"ÖGK-S","Durchschnitt 21","","Gesamt","15168919.25","31511037.06"
"ÖGK-S","2022","63","Physiotherapie","15558522.67","32864554.72"
"ÖGK-S","2022","66","Logopäde","383972.12","800217.83"
"ÖGK-S","2022","75","Ergotherapeut","609251.0","1031560.59"
"ÖGK-S","Durchschnitt 22","","Gesamt","16551745.79","34696333.14"
"ÖGK-S","2023","63","Physiotherapie","19664568.94","34218473.06"
"ÖGK-S","2023","66","Logopäde","617776.19","1014271.59"
"ÖGK-S","2023","75","Ergotherapeut","719480.29","1146927.3"
"ÖGK-S","Durchschnitt 23","","Gesamt","21001825.42","36379671.95"
"ÖGK-ST","2021","63","Physiotherapie","7565611.21","18566261.08"
"ÖGK-ST","2021","66","Logopäde","809928.73","1480329.82"
"ÖGK-ST","2021","75","Ergotherapeut","476268.17","921426.01"
"ÖGK-ST","Durchschnitt 21","","Gesamt","8851808.11","20968016.91"
"ÖGK-ST","2022","63","Physiotherapie","8498360.15","17357707.35"
"ÖGK-ST","2022","66","Logopäde","764568.11","1441934.65"
"ÖGK-ST","2022","75","Ergotherapeut","524892.51","847750.51"
"ÖGK-ST","Durchschnitt 22","","Gesamt","9787820.77","19647392.51"
"ÖGK-ST","2023","63","Physiotherapie","13087287.01","23154372.55"
"ÖGK-ST","2023","66","Logopäde","950466.98","1660662.27"
"ÖGK-ST","2023","75","Ergotherapeut","734431.08","1142855.27"
"ÖGK-ST","Durchschnitt 23","","Gesamt","14772185.07","25957890.09"
"ÖGK-T","2021","63","Physiotherapie","16136846.43","35219602.47"
"ÖGK-T","2021","66","Logopäde","546018.73","1043436.35"
"ÖGK-T","2021","75","Ergotherapeut","1161171.6","2049077.47"
"ÖGK-T","Durchschnitt 21","","Gesamt","17844036.76","38312116.29"
"ÖGK-T","2022","63","Physiotherapie","19981354.92","37932185.87"
"ÖGK-T","2022","66","Logopäde","745208.81","1236913.12"
"ÖGK-T","2022","75","Ergotherapeut","1371627.99","2267223.39"
"ÖGK-T","Durchschnitt 22","","Gesamt","22098191.72","41436322.38"
"ÖGK-T","2023","63","Physiotherapie","25731624.54","43052407.7"
"ÖGK-T","2023","66","Logopäde","944764.16","1435029.48"
"ÖGK-T","2023","75","Ergotherapeut","1617373.65","2567366.43"
"ÖGK-T","Durchschnitt 23","","Gesamt","28293762.35","47054803.61"
"ÖGK-V","2021","63","Physiotherapie","11489675.11","22552663.29"
"ÖGK-V","2021","66","Logopäde","161728.83","291505.92"
